Country Name,ISO3,Year,Inward_FDI_Net_Flow_GDP_Pct,Inward_FDI_Net_Flow_GDP_Pct_Derived,Flow_GDP_Pct_Official_Minus_Derived,Absolute_Difference_Pct_Points
Singapore,SGP,2008,7.0232860822828584,7.023286082282858,8.881784197001252e-16,8.881784197001252e-16
Eswatini,SWZ,2022,0.28125560992427306,0.2812556099242731,-5.551115123125783e-17,5.551115123125783e-17
Aruba,ABW,1990,17.063550036522958,17.063550036522958,0.0,0.0
Aruba,ABW,1991,21.1851377322229,21.1851377322229,0.0,0.0
Aruba,ABW,1992,-3.857808857808849,-3.857808857808849,0.0,0.0
Aruba,ABW,1993,-1.6554925219185102,-1.6554925219185102,0.0,0.0
Aruba,ABW,1994,-5.874439461883404,-5.874439461883404,0.0,0.0
Aruba,ABW,1995,-0.41878172588832335,-0.41878172588832335,0.0,0.0
Aruba,ABW,1996,6.161943319838053,6.161943319838053,0.0,0.0
Aruba,ABW,1997,12.913931436907344,12.913931436907344,0.0,0.0
Aruba,ABW,1998,6.813149949681256,6.813149949681256,0.0,0.0
Aruba,ABW,1999,27.136835278858584,27.136835278858584,0.0,0.0
Aruba,ABW,2000,-6.82872717296655,-6.82872717296655,0.0,0.0
Aruba,ABW,2001,-14.075055572608495,-14.075055572608495,0.0,0.0
Aruba,ABW,2002,16.949056012757303,16.949056012757303,0.0,0.0
Aruba,ABW,2003,7.816428711983724,7.816428711983724,0.0,0.0
Aruba,ABW,2004,-4.687638978461372,-4.687638978461372,0.0,0.0
Aruba,ABW,2005,-8.804935635213596,-8.804935635213596,0.0,0.0
Aruba,ABW,2006,8.920466621148263,8.920466621148263,0.0,0.0
Aruba,ABW,2007,-17.590316500513847,-17.590316500513847,0.0,0.0
Aruba,ABW,2008,0.664175810874169,0.664175810874169,0.0,0.0
Aruba,ABW,2009,-0.41563759901471997,-0.41563759901471997,0.0,0.0
Aruba,ABW,2010,7.611672202186746,7.611672202186746,0.0,0.0
Aruba,ABW,2011,18.505780038324605,18.505780038324605,0.0,0.0
Aruba,ABW,2012,-12.033180218075469,-12.033180218075469,0.0,0.0
Aruba,ABW,2013,9.974457135174232,9.974457135174232,0.0,0.0
Aruba,ABW,2014,7.465254603358493,7.465254603358493,0.0,0.0
Aruba,ABW,2015,-0.9072643751616036,-0.9072643751616036,0.0,0.0
Aruba,ABW,2016,0.923397287531133,0.923397287531133,0.0,0.0
Aruba,ABW,2017,5.253375206272799,5.253375206272799,0.0,0.0
Aruba,ABW,2018,4.399817171772706,4.399817171772706,0.0,0.0
Aruba,ABW,2019,-2.2472039816061984,-2.2472039816061984,0.0,0.0
