Country Name,ISO3,Max_Oil_Rents_1990_2021,Legacy_Target_Observations,Corrected_Flow_Observations,Previously_Excluded,Restored_By_Corrected_Flow,Nigeria,Oil_Rent_Intensive_ge1p0pct,Oil_Rent_Intensive_ge5p0pct,Oil_Rent_Intensive_ge10p0pct,Oil_Rent_Intensive_ge15p0pct
Hungary,HUN,0.425007394601361,27,35,False,False,False,False,False,False,False
Iceland,ISL,0.0,27,35,False,False,False,False,False,False,False
India,IND,1.72936446209105,27,35,False,False,False,True,False,False,False
Indonesia,IDN,9.91945749843524,19,35,False,False,False,True,True,False,False
"Iran, Islamic Rep.",IRN,31.6076762648214,0,35,True,True,False,True,True,True,True
Iraq,IRQ,65.1575951980304,0,33,True,True,False,True,True,True,True
Ireland,IRL,0.0084342457466574,27,35,False,False,False,False,False,False,False
Isle of Man,IMN,,0,0,True,False,False,False,False,False,False
Israel,ISR,0.0118850270586983,27,35,False,False,False,False,False,False,False
Italy,ITA,0.108313381680821,27,35,False,False,False,False,False,False,False
Jamaica,JAM,1.06917692280528,0,35,True,True,False,True,False,False,False
Japan,JPN,0.0036977302079416,27,35,False,False,False,False,False,False,False
Jordan,JOR,0.0698817164768138,27,35,False,False,False,False,False,False,False
Kazakhstan,KAZ,24.7022127271689,27,33,False,False,False,True,True,True,True
Kenya,KEN,0.0288123870707702,27,35,False,False,False,False,False,False,False
Kiribati,KIR,0.0,0,35,True,True,False,False,False,False,False
"Korea, Dem. People's Rep.",PRK,,0,0,True,False,False,False,False,False,False
"Korea, Rep.",KOR,0.0596703107786387,0,35,True,True,False,False,False,False,False
Kosovo,XKX,0.0,0,21,True,True,False,False,False,False,False
Kuwait,KWT,58.3689295808333,0,35,True,True,False,True,True,True,True
Kyrgyz Republic,KGZ,0.901919856447568,27,32,False,False,False,False,False,False,False
Lao PDR,LAO,0.0,0,35,True,True,False,False,False,False,False
Latvia,LVA,0.137675372248078,27,33,False,False,False,False,False,False,False
Lebanon,LBN,0.0,27,35,False,False,False,False,False,False,False
Lesotho,LSO,0.0,27,35,False,False,False,False,False,False,False
Liberia,LBR,0.0,0,35,True,True,False,False,False,False,False
Libya,LBY,64.8164362995569,27,26,False,False,False,True,True,True,True
Liechtenstein,LIE,,0,19,True,True,False,False,False,False,False
Lithuania,LTU,0.356954383456659,27,33,False,False,False,False,False,False,False
Luxembourg,LUX,0.0,20,23,False,False,False,False,False,False,False
"Macao SAR, China",MAC,0.0,0,35,True,True,False,False,False,False,False
Madagascar,MDG,0.129091659780245,27,35,False,False,False,False,False,False,False
Malawi,MWI,0.144130794366265,27,35,False,False,False,False,False,False,False
Malaysia,MYS,10.2305989016965,27,35,False,False,False,True,True,True,False
Maldives,MDV,0.0,0,35,True,True,False,False,False,False,False
Mali,MLI,0.0,0,35,True,True,False,False,False,False,False
Malta,MLT,0.0121328675494815,0,35,True,True,False,False,False,False,False
Marshall Islands,MHL,,0,25,True,True,False,False,False,False,False
Mauritania,MRT,11.4339025984773,0,35,True,True,False,True,True,True,False
Mauritius,MUS,0.109303420945243,27,35,False,False,False,False,False,False,False
Mexico,MEX,6.8456871360715,27,35,False,False,False,True,True,False,False
"Micronesia, Fed. Sts.",FSM,,0,1,True,True,False,False,False,False,False
Moldova,MDA,0.104253032464958,0,33,True,True,False,False,False,False,False
Monaco,MCO,,0,0,True,False,False,False,False,False,False
Mongolia,MNG,3.63584891999233,27,34,False,False,False,True,False,False,False
Montenegro,MNE,0.0,12,18,False,False,False,False,False,False,False
Morocco,MAR,0.0086331793463765,27,35,False,False,False,False,False,False,False
Mozambique,MOZ,0.481285902978786,27,35,False,False,False,False,False,False,False
Myanmar,MMR,4.86297915814427,27,35,False,False,False,True,False,False,False
Namibia,NAM,0.0,27,35,False,False,False,False,False,False,False
Nauru,NRU,0.0,0,7,True,True,False,False,False,False,False
Nepal,NPL,0.0,0,31,True,True,False,False,False,False,False
Netherlands,NLD,0.123024890879415,0,35,True,True,False,False,False,False,False
New Caledonia,NCL,0.0,0,25,True,True,False,False,False,False,False
New Zealand,NZL,1.05778347154292,27,35,False,False,False,True,False,False,False
Nicaragua,NIC,0.241718443242608,0,35,True,True,False,False,False,False,False
Niger,NER,4.23042002083649,0,35,True,True,False,True,False,False,False
Nigeria,NGA,28.7054393824039,0,35,True,True,True,True,True,True,True
North Macedonia,MKD,0.0230402748269549,27,31,False,False,False,False,False,False,False
Northern Mariana Islands,MNP,,0,0,True,False,False,False,False,False,False
Norway,NOR,11.563574057982,27,35,False,False,False,True,True,True,False
Oman,OMN,49.6173962343468,0,35,True,True,False,True,True,True,True
Pakistan,PAK,1.21484685318654,0,35,True,True,False,True,False,False,False
Palau,PLW,,0,29,True,True,False,False,False,False,False
Panama,PAN,0.0277938429371604,0,35,True,True,False,False,False,False,False
Papua New Guinea,PNG,15.1343158261002,0,35,True,True,False,True,True,True,True
Paraguay,PRY,0.21578841647676,0,35,True,True,False,False,False,False,False
Peru,PER,3.13283320915742,27,35,False,False,False,True,False,False,False
Philippines,PHL,0.237100244347381,27,35,False,False,False,False,False,False,False
Poland,POL,0.0680195690834472,27,35,False,False,False,False,False,False,False
Portugal,PRT,0.0714397773870135,27,35,False,False,False,False,False,False,False
Puerto Rico (US),PRI,0.0,0,0,True,False,False,False,False,False,False
Qatar,QAT,48.6558768141096,0,35,True,True,False,True,True,True,True
Romania,ROU,2.29357782835182,27,35,False,False,False,True,False,False,False
Russian Federation,RUS,15.355993811466,0,33,True,True,False,True,True,True,True
Rwanda,RWA,0.0020406358081122,27,35,False,False,False,False,False,False,False
Samoa,WSM,0.0,0,35,True,True,False,False,False,False,False
San Marino,SMR,,0,3,True,True,False,False,False,False,False
Saudi Arabia,SAU,54.085800995618,27,35,False,False,False,True,True,True,True
Senegal,SEN,0.0016157127149988,0,35,True,True,False,False,False,False,False
Serbia,SRB,1.7969801995401,14,18,False,False,False,True,False,False,False
Seychelles,SYC,0.0,27,35,False,False,False,False,False,False,False
Sierra Leone,SLE,0.0,0,35,True,True,False,False,False,False,False
Singapore,SGP,0.153787333426844,27,35,False,False,False,False,False,False,False
Sint Maarten (Dutch part),SXM,,0,14,True,True,False,False,False,False,False
Slovak Republic,SVK,0.0281402221439932,0,32,True,True,False,False,False,False,False
Slovenia,SVN,0.0002827546108903,27,33,False,False,False,False,False,False,False
Solomon Islands,SLB,0.0,0,35,True,True,False,False,False,False,False
"Somalia, Fed. Rep.",SOM,0.0,0,35,True,True,False,False,False,False,False
South Africa,ZAF,1.37926877732773,27,35,False,False,False,True,False,False,False
South Sudan,SSD,58.2776601424041,0,13,True,True,False,True,True,True,True
Spain,ESP,0.0167206636998013,27,35,False,False,False,False,False,False,False
Sri Lanka,LKA,0.0,0,35,True,True,False,False,False,False,False
St. Kitts and Nevis,KNA,0.0,0,35,True,True,False,False,False,False,False
St. Lucia,LCA,0.0,0,35,True,True,False,False,False,False,False
St. Martin (French part),MAF,,0,0,True,False,False,False,False,False,False
St. Vincent and the Grenadines,VCT,0.0,0,35,True,True,False,False,False,False,False
Sudan,SDN,17.885274592108,0,34,True,True,False,True,True,True,True
Suriname,SUR,10.4429452069185,0,35,True,True,False,True,True,True,False
Sweden,SWE,0.0295942454553409,27,35,False,False,False,False,False,False,False
Switzerland,CHE,0.0009600137277195,27,35,False,False,False,False,False,False,False
Syrian Arab Republic,SYR,18.8708007318397,0,22,True,True,False,True,True,True,True
São Tomé and Principe,STP,0.0,0,31,True,True,False,False,False,False,False
Tajikistan,TJK,1.44203234686491,27,33,False,False,False,True,False,False,False
Tanzania,TZA,0.0003979686429835,0,35,True,True,False,False,False,False,False
Thailand,THA,1.90791786682769,27,35,False,False,False,True,False,False,False
Timor-Leste,TLS,24.2895242064057,0,21,True,True,False,True,True,True,True
Togo,TGO,0.0,0,35,True,True,False,False,False,False,False
Tonga,TON,0.0,0,35,True,True,False,False,False,False,False
Trinidad and Tobago,TTO,19.1790340751601,0,35,True,True,False,True,True,True,True
Tunisia,TUN,6.45080502980873,27,35,False,False,False,True,True,False,False
Turkmenistan,TKM,36.9958648805975,0,33,True,True,False,True,True,True,True
Turks and Caicos Islands,TCA,0.0,0,11,True,True,False,False,False,False,False
Tuvalu,TUV,,0,24,True,True,False,False,False,False,False
Türkiye,TUR,0.260691501215256,0,35,True,True,False,False,False,False,False
Uganda,UGA,0.0,27,35,False,False,False,False,False,False,False
Ukraine,UKR,0.991786006161771,27,33,False,False,False,False,False,False,False
United Arab Emirates,ARE,35.3156119922356,0,35,True,True,False,True,True,True,True
United Kingdom,GBR,0.996222101169364,27,35,False,False,False,False,False,False,False
United States,USA,0.703237008212799,27,35,False,False,False,False,False,False,False
Uruguay,URY,0.0418304836494907,27,35,False,False,False,False,False,False,False
Uzbekistan,UZB,5.40046980305752,27,33,False,False,False,True,True,False,False
Vanuatu,VUT,0.0,0,35,True,True,False,False,False,False,False
"Venezuela, RB",VEN,28.0600250559547,0,35,True,True,False,True,True,True,True
Viet Nam,VNM,9.04473557257388,27,35,False,False,False,True,True,False,False
Virgin Islands (US),VIR,0.0,0,0,True,False,False,False,False,False,False
West Bank and Gaza,PSE,0.0,0,30,True,True,False,False,False,False,False
"Yemen, Rep.",YEM,41.2105414506176,0,30,True,True,False,True,True,True,True
Zambia,ZMB,0.0,27,35,False,False,False,False,False,False,False
Zimbabwe,ZWE,0.0623369671683315,27,35,False,False,False,False,False,False,False
