absolute_threshold_pct,country_years,countries,minimum,maximum
25.0,194,34,-1303.108266911354,1709.8272317393
50.0,92,14,-1303.108266911354,1709.8272317393
100.0,61,8,-1303.108266911354,1709.8272317393
