signal,calibration_replicates,countries_N,median_delta_r2,ci_low_delta_r2,ci_high_delta_r2,p_delta_r2_gt_0,absolute_distance_from_0p5,all_replicates_exact_N_draws,calibration_interpretation
Oil_Rents_GDP_Pct_lag1,10000,185,-6.962371307495108e-05,-0.013838134531995339,0.01349879494783063,0.4954,0.004599999999999993,True,Paired label-swap symmetry check; P(delta>0) should be near 0.5.
Regulatory_Quality_lag1,10000,184,1.773773852015159e-05,-0.003550131886967564,0.003536600280461617,0.504,0.0040000000000000036,True,Paired label-swap symmetry check; P(delta>0) should be near 0.5.
