sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json,prediction_span,target_span
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,Ridge,M1_Macro,0.4674603855916835,3.0530704983316763,2.170491304356161,4.104380071751251,6.319186726351915,-16.205300794119097,-2.805261377047512,2.3986366046527365,34.08650331568472,58.51837251032528,-7.322503499597377,4.055598724294657,42.70993570840152,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",50.03243920799889,74.72367330444438
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,Ridge,M2_Macro_Oil,0.4706248332875791,3.0254700017172738,2.135072591647594,4.104380071751251,6.319186726351915,-16.205300794119097,-2.805261377047512,2.3986366046527365,34.08650331568472,58.51837251032528,-7.363593777303616,4.097288278669967,42.80648776274165,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",50.17008154004526,74.72367330444438
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,948,148,37,ElasticNet,M1_Macro,0.3903595397119052,6.768609457309431,1.8455368224698387,8.114775409608777,37.42914919419976,-391.5551190092479,-10.060308630773228,3.3825596509596885,143.24496670517232,452.2208630141506,-66.6810874600583,3.9816338456156606,287.64349607727934,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",354.3245835373376,843.7759820233985
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,948,148,37,ElasticNet,M2_Macro_Oil,0.3906628690621104,6.733871943967467,1.8649105219998128,8.114775409608777,37.42914919419976,-391.5551190092479,-10.060308630773228,3.3825596509596885,143.24496670517232,452.2208630141506,-66.5261540588887,3.9196944246482026,287.6808219844712,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",354.2069760433599,843.7759820233985
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,948,148,37,RandomForest,M1_Macro,0.3227124359664143,6.597924653414816,1.3693838111861591,8.114775409608777,37.42914919419976,-391.5551190092479,-10.060308630773228,3.3825596509596885,143.24496670517232,452.2208630141506,-9.787902282076718,3.504435638838851,471.3976353311735,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",481.18553761325023,843.7759820233985
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,948,148,37,RandomForest,M2_Macro_Oil,0.3395398729632753,6.462759282866826,1.3571155209675452,8.114775409608777,37.42914919419976,-391.5551190092479,-10.060308630773228,3.3825596509596885,143.24496670517232,452.2208630141506,-5.456869186237915,3.5046436829106806,466.4524388951439,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",471.9093080813818,843.7759820233985
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,948,148,37,Ridge,M1_Macro,0.3904146741598858,6.791374889677232,1.8981997709066536,8.114775409608777,37.42914919419976,-391.5551190092479,-10.060308630773228,3.3825596509596885,143.24496670517232,452.2208630141506,-66.87659396550791,3.955057615319068,289.02689302226673,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",355.9034869877746,843.7759820233985
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,948,148,37,Ridge,M2_Macro_Oil,0.3907226520563412,6.755792944733728,1.8909437254453296,8.114775409608777,37.42914919419976,-391.5551190092479,-10.060308630773228,3.3825596509596885,143.24496670517232,452.2208630141506,-66.71680552127653,3.888785834120265,289.06474650592565,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",355.78155202720217,843.7759820233985
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3831,903,148,37,ElasticNet,M1_Macro,0.0696700110000444,5.438612729516255,1.6253918802137404,5.945807192200678,28.06358636491248,-296.0133334563628,-10.178476300902211,1.9897401699268915,107.6480981353161,431.7885759104592,-190.4144099889321,3.3747281125170208,287.3904806013549,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",477.804890590287,727.801909366822
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3831,903,148,37,ElasticNet,M2_Macro_Oil,0.0694065582647271,5.515709392579426,1.736149750843082,5.945807192200678,28.06358636491248,-296.0133334563628,-10.178476300902211,1.9897401699268915,107.6480981353161,431.7885759104592,-190.0785291290021,3.374991956779924,287.418867417758,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",477.4973965467601,727.801909366822
