signal,target_role,target,universe,validation,comparisons,median_delta_r2,mean_delta_r2,positive_share,median_delta_mae,mae_improvement_share,minimum_delta_r2,maximum_delta_r2
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,15,0.007381295546484701,0.007944535796073494,0.7333333333333333,-0.00523166961984789,0.8,-0.005115125140346399,0.0419672705300293
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,15,0.005722402526557091,0.002955359790320065,0.8,-0.002334332895544633,0.9333333333333333,-0.023686951297156006,0.019906037019980394
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,15,-0.0008498349526442073,-0.006991214343929305,0.3333333333333333,0.0,0.4,-0.05145153532274499,0.030223320957559197
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,15,0.00042640401746260603,0.005768634742807114,0.6,-0.0004452139501559538,0.8666666666666667,-0.04424528662102031,0.09693383729268831
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,15,-0.0027917282889491357,-0.005195648533057937,0.26666666666666666,0.0028328479903737547,0.3333333333333333,-0.049279263968487586,0.05023399444691212
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,15,-0.002072557841685696,0.0004368815246383717,0.26666666666666666,0.00047802066223323614,0.4,-0.0132143946598125,0.021116411926867307
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,15,0.0002584176349924028,-0.0020211702690672443,0.5333333333333333,-0.002675425928806874,0.7333333333333333,-0.06081039376188352,0.04769034902047742
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,15,0.0012772617206228132,0.0007881697126967106,0.7333333333333333,-0.0004906107079933886,0.9333333333333333,-0.03452196692904819,0.025646165268660703
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,15,0.00021441098398511382,-0.014701847344163176,0.5333333333333333,-0.0009047885089303875,0.6,-0.1613600822320279,0.025582229921594313
Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,15,0.000923335906117484,-0.00020120805610235882,0.8,-0.0008685296490121841,0.8666666666666667,-0.03660022694468559,0.032026046600102664
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,15,0.0036233349114319635,0.006818219319705619,0.6666666666666666,-0.012264531308585847,0.6666666666666666,-0.0032200842603625768,0.03532110234233379
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,15,0.0025730011777839734,-0.002073679153046957,0.7333333333333333,0.0075322053152238055,0.3333333333333333,-0.0315207050058601,0.01766624341009479
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,15,0.0016147056639988777,0.0018751263932391498,0.6,-0.009031526281103375,0.5333333333333333,-0.028768464794902082,0.0534378395963091
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,15,0.0013558614495035037,0.0006760329808265705,0.8666666666666667,0.0008875533761090182,0.3333333333333333,-0.0253786259001903,0.012943363125759999
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,15,-0.001491704768313895,-0.004742494822761567,0.26666666666666666,0.014187095578332087,0.3333333333333333,-0.04542930531351988,0.06303022658325641
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,15,-0.0008479335159863877,0.0003269917502256248,0.13333333333333333,0.004637027765068691,0.3333333333333333,-0.005384569542491002,0.022899102357743117
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,15,0.002752341279691095,0.008483508762437449,0.8,-0.009774934338413921,0.7333333333333333,-0.00674129046475172,0.0460547432722849
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,15,-2.721062797861329e-07,0.0006288571549088425,0.4666666666666667,2.23287868621469e-05,0.4,-0.011235805295204515,0.0153090428294535
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,15,0.003075754026550248,0.004084089844863668,0.6666666666666666,-0.014321026731989317,0.7333333333333333,-0.016052368643416914,0.042650885193591226
Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,15,0.0014573452902429396,0.0017806357252410422,0.8666666666666667,-0.0007188572021648021,0.6,-0.01414829302653653,0.023827387904434394
Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,15,-0.0013845379811107117,-0.34445431268847904,0.4666666666666667,0.06655058795076796,0.4,-4.910438222262359,0.016122994681059877
Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Future_Period,15,0.000414085413383003,0.008790844876764252,0.8,-0.02964832629632319,0.7333333333333333,-0.015037267840145807,0.0801322410283817
