signal,null_permutations,bootstrap_replicates_per_permutation,pooled_null_draws,pooled_null_median_delta_r2,pooled_null_ci_low_delta_r2,pooled_null_ci_high_delta_r2,pooled_null_p_delta_r2_gt_0,expected_probability_under_null,absolute_distance_from_0p5,sanity_interpretation,zero_centered_pass,ci_crosses_zero_pass,no_manufactured_positive_evidence_pass,overall_null_signal_sanity_pass,null_check_status,interpretation
Oil_Rents_GDP_Pct_lag1,20,500,10000,-0.00012196083882920483,-0.0011768810617176547,0.000580555171829683,0.3708,0.5,0.12919999999999998,Near 0.5 is expected; material deviation triggers review rather than automatic validation.,True,True,True,True,PASS_WITH_CAUTION,"The null median is near zero and the 95% interval crosses zero, but P(ΔR²>0) lies outside the ±0.10 pass band while remaining within the predeclared ±0.15 caution band."
Regulatory_Quality_lag1,20,500,10000,-5.417504937860196e-05,-0.0018488152146442112,0.0011800207097564103,0.4665,0.5,0.033499999999999974,Near 0.5 is expected; material deviation triggers review rather than automatic validation.,True,True,True,True,PASS,"The null median is near zero, the 95% interval crosses zero, and P(ΔR²>0) is within the predeclared ±0.10 reference band around 0.5."
