signal,setups,material,marginal,setup_dependent,unsupported,coverage_limited,overall_classification,locked_decision_role
Oil rents (t-1),10,1,4,5,0,0,Setup-dependent,Candidate pre-weighting signal
Regulatory Quality (t-1),10,0,0,10,0,0,Setup-dependent,Candidate pre-weighting signal
