Country Name,ISO3,Year,Inward_FDI_Net_Flow_GDP_Pct,Absolute_Flow_GDP_Pct
Cayman Islands,CYM,2015,1709.8272317393,1709.8272317393
Liechtenstein,LIE,2018,-1303.108266911354,1303.108266911354
Liechtenstein,LIE,2015,1282.607229392239,1282.607229392239
Liechtenstein,LIE,2006,1114.9323855109326,1114.9323855109326
Cayman Islands,CYM,2014,1009.0310514197672,1009.0310514197672
Liechtenstein,LIE,2016,972.6935385983865,972.6935385983865
Liechtenstein,LIE,2000,799.3339427334205,799.3339427334205
Cayman Islands,CYM,2013,792.3198018316746,792.3198018316746
Cayman Islands,CYM,2011,743.700703126213,743.700703126213
Liechtenstein,LIE,2007,728.8656596848042,728.8656596848042
Liechtenstein,LIE,2009,664.5737673946963,664.5737673946963
Cayman Islands,CYM,2007,631.6340941770477,631.6340941770477
Liechtenstein,LIE,2017,602.3745261489652,602.3745261489652
Cayman Islands,CYM,2006,590.9341353484526,590.9341353484526
Liechtenstein,LIE,2010,587.8386156565882,587.8386156565882
Liechtenstein,LIE,2003,563.5484077445828,563.5484077445828
Liechtenstein,LIE,2012,540.3669458660889,540.3669458660889
Cayman Islands,CYM,2010,504.3724813742783,504.3724813742783
Cayman Islands,CYM,2012,500.8059213108715,500.8059213108715
Cayman Islands,CYM,2009,474.06347814758254,474.06347814758254
Liechtenstein,LIE,2011,460.2135183317836,460.2135183317836
Malta,MLT,2018,452.2208630141506,452.2208630141506
Malta,MLT,2007,450.0457959141228,450.0457959141228
Malta,MLT,2021,433.6068398798668,433.6068398798668
Cyprus,CYP,2019,431.7885759104592,431.7885759104592
Cayman Islands,CYM,2008,426.4272214655456,426.4272214655456
Luxembourg,LUX,2022,-391.5551190092479,391.5551190092479
Liechtenstein,LIE,2001,376.8012685646469,376.8012685646469
Malta,MLT,2006,370.9035606239207,370.9035606239207
Malta,MLT,2005,341.0076521038037,341.0076521038037
Liechtenstein,LIE,2008,319.0973240777215,319.0973240777215
Cyprus,CYP,2018,307.0866103134263,307.0866103134263
Malta,MLT,2017,299.8247742712146,299.8247742712146
Cyprus,CYP,2020,-296.0133334563628,296.0133334563628
Cyprus,CYP,2012,289.85815574579306,289.85815574579306
Liechtenstein,LIE,2002,255.30794433189905,255.30794433189905
Cyprus,CYP,2009,252.66766836907988,252.66766836907988
Luxembourg,LUX,2019,234.31061730735783,234.31061730735783
Cyprus,CYP,2014,233.1658142671209,233.1658142671209
Malta,MLT,2019,198.1996468414077,198.1996468414077
Malta,MLT,2020,191.92186814440944,191.92186814440944
Cyprus,CYP,2017,184.0541803399241,184.0541803399241
Malta,MLT,2024,170.05351953095894,170.05351953095894
Cayman Islands,CYM,2023,165.45813391078124,165.45813391078124
Equatorial Guinea,GNQ,1996,161.82376004787793,161.82376004787793
Malta,MLT,2008,161.76541358092604,161.76541358092604
Cyprus,CYP,2011,151.73691346990805,151.73691346990805
Liechtenstein,LIE,2014,140.29344414329404,140.29344414329404
Cyprus,CYP,2015,137.2207472216489,137.2207472216489
Cyprus,CYP,2024,-133.82421323345525,133.82421323345525
Cyprus,CYP,2010,125.27273624641636,125.27273624641636
Cayman Islands,CYM,2020,123.31400146506238,123.31400146506238
Malta,MLT,2004,122.36020746230342,122.36020746230342
Luxembourg,LUX,2018,-117.23394753051228,117.23394753051228
Malta,MLT,2022,114.98951988153388,114.98951988153388
Luxembourg,LUX,2024,113.62222528526404,113.62222528526404
Malta,MLT,2023,108.73527077072072,108.73527077072072
Cyprus,CYP,2013,108.090333712845,108.090333712845
Hungary,HUN,2020,105.63575554409633,105.63575554409633
Liberia,LBR,2010,103.33738709903302,103.33738709903302
Malta,MLT,2010,101.62639439291318,101.62639439291318
Equatorial Guinea,GNQ,1995,89.4756175644807,89.4756175644807
Liberia,LBR,2011,86.98944676118974,86.98944676118974
Netherlands,NLD,2007,85.97855483638016,85.97855483638016
Liberia,LBR,1996,-82.89209535759096,82.89209535759096
Liberia,LBR,2012,82.74715778220056,82.74715778220056
Malta,MLT,2011,79.74891891238796,79.74891891238796
Luxembourg,LUX,2015,75.63002400025806,75.63002400025806
Luxembourg,LUX,2006,75.08603853508279,75.08603853508279
Ireland,IRL,2015,74.81692614872443,74.81692614872443
Equatorial Guinea,GNQ,1998,74.12389691004518,74.12389691004518
Liberia,LBR,1997,72.26089895234877,72.26089895234877
Luxembourg,LUX,2010,69.60639433887276,69.60639433887276
Equatorial Guinea,GNQ,2001,64.38410074718966,64.38410074718966
Cyprus,CYP,2023,-63.1546391215421,63.1546391215421
Liberia,LBR,2013,62.90685386158327,62.90685386158327
Hungary,HUN,2019,59.57754938339524,59.57754938339524
Liberia,LBR,1990,58.59521331945889,58.59521331945889
"Hong Kong SAR, China",HKG,2015,58.51837251032528,58.51837251032528
Liberia,LBR,1999,58.00362154821186,58.00362154821186
Luxembourg,LUX,2007,-57.53231408340961,57.53231408340961
Seychelles,SYC,2012,56.28826544198622,56.28826544198622
Azerbaijan,AZE,2003,55.07287665542573,55.07287665542573
Cayman Islands,CYM,2016,54.67627932182167,54.67627932182167
Azerbaijan,AZE,2004,54.36505090703617,54.36505090703617
Hungary,HUN,2016,53.84676367850149,53.84676367850149
Liechtenstein,LIE,2004,53.43481822014928,53.43481822014928
Liberia,LBR,1998,52.92269187986653,52.92269187986653
Guyana,GUY,2019,51.999468008466366,51.999468008466366
Netherlands,NLD,2006,50.90958108613047,50.90958108613047
Hungary,HUN,2007,50.40652302751359,50.40652302751359
Luxembourg,LUX,2009,50.03949030925051,50.03949030925051
Liberia,LBR,2003,49.7620320855615,49.7620320855615
Cayman Islands,CYM,2017,48.51588184289818,48.51588184289818
