signal,target_role,universe,validation,algorithm,model,min_r2,median_r2,max_r2,r2_range
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.1354043985805169,0.3230006510594647,0.4345510782524014,0.2991466796718845
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,Ridge,M1_Macro,0.148376872342403,0.3772023798757976,0.4929304840987062,0.3445536117563032
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.1459055081795131,0.3788135247352107,0.4975117448703081,0.351606236690795
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,ElasticNet,M1_Macro,0.2922897210598506,0.3117038371973047,0.3567945528357839,0.06450483177593325
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,ElasticNet,M2_Macro_Oil,0.2951445632120318,0.3130889683094224,0.3578978139342814,0.06275325072224958
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,RandomForest,M1_Macro,0.180007150518585,0.1837936708739066,0.2575668330331375,0.07755968251455247
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,RandomForest,M2_Macro_Oil,0.1932934216446831,0.2215035431699435,0.2304216879272824,0.0371282662825993
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,Ridge,M1_Macro,0.2886871760997338,0.3098146570848122,0.3557428336573831,0.06705565755764925
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,Ridge,M2_Macro_Oil,0.2917616615189137,0.3114420467757307,0.3570653245229999,0.06530366300408619
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,ElasticNet,M1_Macro,0.2232097350113659,0.3715928453228575,0.4415115955753169,0.21830186056395098
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.2407270353290957,0.384992526372972,0.4504369827150053,0.20970994738590962
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,RandomForest,M1_Macro,0.1965453281365689,0.2773873105623378,0.3671413239664823,0.17059599582991342
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.2360176808110068,0.369255630631798,0.4282592560322549,0.1922415752212481
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,Ridge,M1_Macro,0.2206876793168344,0.3719323798617091,0.4438218395711649,0.2231341602543305
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.2382643041141089,0.3866332923759918,0.4519891070815357,0.21372480296742682
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,ElasticNet,M1_Macro,0.2804473506267217,0.2993602725575122,0.3234412930158855,0.042993942389163764
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,ElasticNet,M2_Macro_Oil,0.2901216119242137,0.3076232415534791,0.3365774452054487,0.04645583328123498
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,RandomForest,M1_Macro,0.2708438383425535,0.2917971251494011,0.3333071336202916,0.062463295277738085
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,RandomForest,M2_Macro_Oil,0.2751894661259298,0.2980532303296475,0.3649236481129473,0.08973418198701749
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,Ridge,M1_Macro,0.2796359630894259,0.2991011318492818,0.3223155803497679,0.04267961726034203
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,Ridge,M2_Macro_Oil,0.2895898002581024,0.3074830421315077,0.3356438726794665,0.04605407242136411
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,ElasticNet,M1_Macro,0.2725972888201485,0.3671650900775892,0.4608901401863294,0.1882928513661809
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.2877238716786791,0.3796482983898342,0.4433141052810934,0.1555902336024143
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,RandomForest,M1_Macro,0.2501126185052572,0.3302294478333663,0.3910485662189765,0.1409359477137193
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.285176799851056,0.3248714492282404,0.3953821392004368,0.11020533934938082
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,Ridge,M1_Macro,0.2738663434672397,0.3671882220088983,0.465078405544149,0.19121206207690927
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.2873147028535192,0.380640978252576,0.4451860416174754,0.1578713387639562
