sample_id,signal,target_role,target,universe,validation,split_id,algorithm,r2_base,mae_base,median_ae_base,base_model,added_model,r2_added,mae_added,median_ae_added,delta_r2,delta_mae,delta_median_ae
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_4,ElasticNet,0.3780794224872918,0.617258239204581,0.388745930819002,M1_Macro,M2_Macro_Oil,0.3818632023418903,0.6142889252123018,0.3854161855446234,0.00378377985459849,-0.0029693139922791767,-0.0033297452743785705
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_4,RandomForest,0.3898880890930841,0.6127433496821999,0.3803102076685207,M1_Macro,M2_Macro_Oil,0.4111940964147856,0.6063224102627733,0.3826200913710393,0.021306007321701514,-0.006420939419426563,0.0023098837025186114
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_4,Ridge,0.3782510024336365,0.6155487167481803,0.38817467493073,M1_Macro,M2_Macro_Oil,0.3821898013529093,0.6123301428161894,0.3850578469819459,0.00393879891927279,-0.0032185739319909867,-0.0031168279487840955
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,0.2618476826953628,0.6954084673688371,0.3698432138694651,M1_Macro,M2_Macro_Oil,0.2662929137039237,0.6914273925445205,0.365580723777589,0.004445231008560924,-0.003981074824316644,-0.0042624900918761255
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,0.246290765206222,0.7147405595747293,0.39907759443477,M1_Macro,M2_Macro_Oil,0.2593159674803992,0.6994875824195526,0.3833455831248846,0.013025202274177194,-0.015252977155176706,-0.015732011309885385
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,0.2601796044953757,0.6942020300982114,0.3701950696052951,M1_Macro,M2_Macro_Oil,0.2648772402874118,0.6897995771854746,0.3630728315644393,0.004697635792036081,-0.004402452912736776,-0.007122238040855766
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,0.2189907095310352,0.7236423918256617,0.3796584366849402,M1_Macro,M2_Macro_Oil,0.2239842007974115,0.7202146678719114,0.3727596073889949,0.004993491266376299,-0.00342772395375035,-0.006898829295945319
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,0.2045604136655481,0.7359420715816892,0.3961932713548,M1_Macro,M2_Macro_Oil,0.2159620911764365,0.7224202667667,0.3861711677809236,0.011401677510888386,-0.013521804814989213,-0.010022103573876395
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,0.2170901381586529,0.7227058182608461,0.3733771008994694,M1_Macro,M2_Macro_Oil,0.2223219505793755,0.7188300975962095,0.3714338724429796,0.005231812420722598,-0.003875720664636595,-0.0019432284564898095
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2015__test_from_2016,ElasticNet,0.183515644985993,0.7324125865635889,0.3725181925619031,M1_Macro,M2_Macro_Oil,0.189072026075036,0.7290353423975964,0.3711107998892208,0.005556381089043022,-0.003377244165992499,-0.001407392672682306
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2015__test_from_2016,RandomForest,0.1616425732928103,0.7558792862375437,0.3944173600464451,M1_Macro,M2_Macro_Oil,0.1826279514092127,0.7415375954695257,0.3801939793730391,0.020985378116402414,-0.014341690768018056,-0.014223380673406005
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2015__test_from_2016,Ridge,0.181225519324493,0.7313583192892571,0.3694752614539267,M1_Macro,M2_Macro_Oil,0.1870381715012934,0.7275401103154311,0.3669121461808768,0.005812652176800409,-0.0038182089738260094,-0.002563115273049865
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2016__test_from_2017,ElasticNet,0.1811336766033028,0.7460207113539332,0.382065443969503,M1_Macro,M2_Macro_Oil,0.186992858300416,0.7426698897198839,0.3773937973807881,0.005859181697113219,-0.003350821634049317,-0.004671646588714884
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2016__test_from_2017,RandomForest,0.1666112891229848,0.7524446841128577,0.3986616094910172,M1_Macro,M2_Macro_Oil,0.165719339169068,0.7399620736452243,0.3662968637732786,-0.0008919499539168096,-0.012482610467633437,-0.03236474571773862
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2016__test_from_2017,Ridge,0.1790456622054316,0.7448082252383736,0.3792631894833125,M1_Macro,M2_Macro_Oil,0.1851375330287012,0.7410085272013763,0.3765544626294472,0.006091870823269591,-0.003799698036997312,-0.0027087268538653064
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2018__test_from_2019,ElasticNet,0.1259802135073741,0.7771262240910487,0.4075568486032042,M1_Macro,M2_Macro_Oil,0.134690744757797,0.7727717680152523,0.4121834254622264,0.008710531250422898,-0.004354456075796431,0.004626576859022236
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2018__test_from_2019,RandomForest,0.1786244394067843,0.7722827527578886,0.4322859571370423,M1_Macro,M2_Macro_Oil,0.2043592447245765,0.7569677999060573,0.4149280055604835,0.02573480531779221,-0.015314952851831265,-0.01735795157655884
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2018__test_from_2019,Ridge,0.1225921424490701,0.7761147042139922,0.4016166589864376,M1_Macro,M2_Macro_Oil,0.1319120690702305,0.7714219489612787,0.4063594833107907,0.009319926621160407,-0.00469275525271351,0.004742824324353079
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_0,ElasticNet,0.3637928301326973,0.655468786852871,0.4110071239519031,M1_Macro,M2_Macro_Oil,0.3591923819703498,0.6600326533780121,0.4097780894681193,-0.0046004481623475035,0.004563866525141069,-0.0012290344837838085
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_0,RandomForest,0.2999836840298258,0.6888790163904136,0.4588697228289805,M1_Macro,M2_Macro_Oil,0.3441738709135437,0.6705196714999223,0.4213436450265169,0.0441901868837179,-0.01835934489049129,-0.03752607780246359
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_0,Ridge,0.3562413676707026,0.6605493969619054,0.4075230264985203,M1_Macro,M2_Macro_Oil,0.3508317243945442,0.6650098025242146,0.41923178306623,-0.0054096432761583935,0.0044604055623092,0.0117087565677097
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_1,ElasticNet,0.4738384849349176,0.6461341707736643,0.4888283466585019,M1_Macro,M2_Macro_Oil,0.4595459616851332,0.6606841677155718,0.5362329536541726,-0.014292523249784417,0.014549996941907506,0.04740460699567067
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_1,RandomForest,0.3143639427224078,0.7426121118469607,0.5354738913836996,M1_Macro,M2_Macro_Oil,0.3450446427773898,0.7277556776487771,0.5116827568929038,0.03068070005498197,-0.01485643419818361,-0.02379113449079584
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_1,Ridge,0.4749429314605646,0.6446274244952718,0.481690682808281,M1_Macro,M2_Macro_Oil,0.4592238205801,0.6609028584112167,0.5412985265071657,-0.015719110880464626,0.01627543391594488,0.05960784369888472
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_2,ElasticNet,0.2209303706272222,0.8881348433003556,0.5945434623083661,M1_Macro,M2_Macro_Oil,0.2282351269018276,0.8674766581128782,0.5532876560291886,0.0073047562746053896,-0.020658185187477418,-0.041255806279177465
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_2,RandomForest,0.1582429518823974,0.9328934942529816,0.7165199556258923,M1_Macro,M2_Macro_Oil,0.2490131995215606,0.8481003823423338,0.5583916358184083,0.09077024763916319,-0.08479311191064787,-0.15812831980748399
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_2,Ridge,0.219830401857855,0.8856556657551021,0.5933676058427718,M1_Macro,M2_Macro_Oil,0.2280671428385219,0.8615252525531735,0.5518119321040715,0.008236740980666901,-0.024130413201928658,-0.04155567373870028
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_3,ElasticNet,0.3456088595288417,1.0347975413600796,0.682973626206397,M1_Macro,M2_Macro_Oil,0.3465414910652088,1.036404671181126,0.6731801095516579,0.0009326315363671345,0.0016071298210462714,-0.009793516654739154
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_3,RandomForest,0.2733739432342235,1.159535974645128,0.855103327450521,M1_Macro,M2_Macro_Oil,0.3001180041122432,1.1319939253716589,0.8849960940072837,0.026744060878019726,-0.027542049273469038,0.029892766556762762
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_3,Ridge,0.3425140697206729,1.0371696250875602,0.6748462764288086,M1_Macro,M2_Macro_Oil,0.3432422843367306,1.038689987740497,0.6720259590771067,0.0007282146160577097,0.0015203626529367575,-0.002820317351701851
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_4,ElasticNet,0.3542982446385353,0.7368245036046516,0.5535188817579594,M1_Macro,M2_Macro_Oil,0.3603611812438226,0.7295056033113198,0.5314630136452322,0.0060629366052872835,-0.00731890029333182,-0.022055868112727195
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_4,RandomForest,0.310651850765808,0.8002272678887655,0.6263419753236681,M1_Macro,M2_Macro_Oil,0.3053282100974935,0.7946819028285301,0.6209377687772394,-0.005323640668314478,-0.0055453650602353965,-0.005404206546428703
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,fold_4,Ridge,0.3534652892061318,0.7389043316545683,0.5389410993653216,M1_Macro,M2_Macro_Oil,0.3616832822853333,0.7271145290147246,0.5298980773797596,0.008217993079201513,-0.011789802639843638,-0.00904302198556206
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,0.2302501403598424,0.8813959702571688,0.5066315173110929,M1_Macro,M2_Macro_Oil,0.2317893704618201,0.8791329423360571,0.4946940408203741,0.0015392301019777066,-0.00226302792111166,-0.011937476490718801
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,RandomForest,0.176978214516308,0.9472188322155358,0.5794205868999722,M1_Macro,M2_Macro_Oil,0.1891619860773034,0.91547526472297,0.493188821475651,0.012183771560995399,-0.031743567492565794,-0.0862317654243212
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,Ridge,0.2295816719393121,0.8790965158053226,0.4894140828007713,M1_Macro,M2_Macro_Oil,0.2313374944935057,0.8763686375576392,0.4844852933092951,0.0017558225541936257,-0.0027278782476833907,-0.004928789491476238
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2014__test_from_2015,ElasticNet,0.2324855424705789,0.9176572808603148,0.5806932339053918,M1_Macro,M2_Macro_Oil,0.2347647210706795,0.9147069919058576,0.5607899034227446,0.002279178600100601,-0.0029502889544572586,-0.019903330482647252
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2014__test_from_2015,RandomForest,0.1848960231837065,0.968528161468791,0.5838140862578335,M1_Macro,M2_Macro_Oil,0.1942406078361428,0.959842893493544,0.6111946862280071,0.009344584652436316,-0.008685267975246935,0.027380599970173614
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2014__test_from_2015,Ridge,0.2306807116678627,0.9165581904284033,0.5807066655464055,M1_Macro,M2_Macro_Oil,0.2332355286748456,0.9135041127993964,0.5623450838748281,0.0025548170069829013,-0.0030540776290068905,-0.01836158167157742
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2015__test_from_2016,ElasticNet,0.2352191501981608,0.9263875019907546,0.5876530589612943,M1_Macro,M2_Macro_Oil,0.237756580455876,0.9232644899272956,0.5753343061994634,0.0025374302577151897,-0.0031230120634589964,-0.01231875276183092
