Country Name,ISO3,Year,Avg_FDI_Restriction_Index,FDI_Flows_Millions_USD
Angola,AGO,1995,0.003981915,2921
Angola,AGO,1996,0.003981915,3101
Angola,AGO,1997,0.003981915,3513
Angola,AGO,1998,0.003981915,4627
Angola,AGO,1999,0.003981915,7099
Angola,AGO,2000,0.003981915,7977
Angola,AGO,2001,0.003981915,10123
Angola,AGO,2002,0.003981915,11866
Angola,AGO,2003,0.003981915,15443
Angola,AGO,2004,0.003981915,17640
Angola,AGO,2005,0.003981915,16336
Angola,AGO,2006,0.003981915,16299
Angola,AGO,2007,0.003981915,15405
Angola,AGO,2008,0.003981915,17084
Angola,AGO,2009,0.003981915,19290
Angola,AGO,2010,0.003981915,32458
Angola,AGO,2011,0.003981915,43275
Angola,AGO,2012,0.003981915,41811
Angola,AGO,2013,0.003981915,34691
Angola,AGO,2014,0.003981915,25479
Angola,AGO,2015,0.003981915,32312
Angola,AGO,2016,0.003981915,29184
Angola,AGO,2017,0.003981915,29436
Angola,AGO,2018,0.003981915,22717
Angola,AGO,2019,0.003981915,18879
Angola,AGO,2020,0.003981915,21595
Angola,AGO,2021,0.003834567,20861
Albania,ALB,1995,0.003630469,211
Albania,ALB,1996,0.003630469,301
Albania,ALB,1997,0.003630469,349
Albania,ALB,1998,0.003630469,394
Albania,ALB,1999,0.003630469,435
Albania,ALB,2000,0.003630469,247
Albania,ALB,2001,0.003630469,327
Albania,ALB,2002,0.003630469,360
Albania,ALB,2003,0.003630469,483
Albania,ALB,2004,0.003630469,837
Albania,ALB,2005,0.003630469,1020
Albania,ALB,2006,0.003630469,1392
Albania,ALB,2007,0.003630469,2693
Albania,ALB,2008,0.003630469,2869
Albania,ALB,2009,0.003630469,3258
Albania,ALB,2010,0.003630469,3255
Albania,ALB,2011,0.003630469,4399
Albania,ALB,2012,0.003630469,4303
Albania,ALB,2013,0.003630469,3931
Albania,ALB,2014,0.003630469,4295
Albania,ALB,2015,0.003630469,4337
Albania,ALB,2016,0.003630469,4985
Albania,ALB,2017,0.003630469,6742
Albania,ALB,2018,0.003630469,7664
Albania,ALB,2019,0.003630469,8188
Albania,ALB,2020,0.003630469,9608
Albania,ALB,2021,0.003630469,9786
Argentina,ARG,1995,0.004652083,27991
Argentina,ARG,1996,0.004652083,33557
Argentina,ARG,1997,0.004652083,42013
Argentina,ARG,1998,0.004652083,47797
Argentina,ARG,1999,0.004652083,61926
Argentina,ARG,2000,0.004652083,67601
Argentina,ARG,2001,0.004652083,79504
Argentina,ARG,2002,0.004652083,43146
Argentina,ARG,2003,0.004652083,48262
Argentina,ARG,2004,0.004652083,52507
Argentina,ARG,2005,0.004652083,55139
Argentina,ARG,2006,0.004652083,59882
Argentina,ARG,2007,0.004652083,66226
Argentina,ARG,2008,0.004652083,75235
Argentina,ARG,2009,0.004652083,78205
Argentina,ARG,2010,0.004652083,85591
Argentina,ARG,2011,0.004652083,92295
Argentina,ARG,2012,0.004652083,98706
Argentina,ARG,2013,0.004652083,88338
Argentina,ARG,2014,0.004652083,89716
Argentina,ARG,2015,0.004652083,79773
Argentina,ARG,2016,0.004652083,74868
Argentina,ARG,2017,0.004652083,80700
Argentina,ARG,2018,0.004652083,72589
Argentina,ARG,2019,0.004652083,70458
Argentina,ARG,2020,0.004652083,85269
Argentina,ARG,2021,0.008140385,99995
Armenia,ARM,1995,0.00825,66
Armenia,ARM,1996,0.00825,84
Armenia,ARM,1997,0.00825,103
Armenia,ARM,1998,0.00825,103
Armenia,ARM,1999,0.00825,421
Armenia,ARM,2000,0.00825,513
Armenia,ARM,2001,0.00825,580
Armenia,ARM,2002,0.00825,684
Armenia,ARM,2003,0.00825,795
Armenia,ARM,2004,0.00825,1039
Armenia,ARM,2005,0.00825,1383
Armenia,ARM,2006,0.00825,1880
Armenia,ARM,2007,0.00825,2586
Armenia,ARM,2008,0.00825,3643
Armenia,ARM,2009,0.00825,3734
Armenia,ARM,2010,0.00825,4405
Armenia,ARM,2011,0.00825,5241
Armenia,ARM,2012,0.00825,5287
Armenia,ARM,2013,0.00825,5491
Armenia,ARM,2014,0.00825,4213
Armenia,ARM,2015,0.00825,4338
Armenia,ARM,2016,0.00825,4635
Armenia,ARM,2017,0.00825,4755
Armenia,ARM,2018,0.00825,5527
Armenia,ARM,2019,0.00825,5521
Armenia,ARM,2020,0.00825,5229
Armenia,ARM,2021,0.00825,5629
Australia,AUS,1995,0.009164043,111311
Australia,AUS,1996,0.009164043,122702
Australia,AUS,1997,0.009164043,106451
Australia,AUS,1998,0.009164043,113102
Australia,AUS,1999,0.009164043,127144
Australia,AUS,2000,0.009164043,121686
Australia,AUS,2001,0.009164043,123671
Australia,AUS,2002,0.009164043,154275
Australia,AUS,2003,0.009164043,219094
Australia,AUS,2004,0.009164043,291010
Australia,AUS,2005,0.009164043,247748
Australia,AUS,2006,0.009164043,302079
Australia,AUS,2007,0.009164043,391761
Australia,AUS,2008,0.009164043,307751
Australia,AUS,2009,0.009164043,439623
Australia,AUS,2010,0.009164043,527728
Australia,AUS,2011,0.009164043,555575
Australia,AUS,2012,0.009164043,615814
Australia,AUS,2013,0.009164043,569825
Australia,AUS,2014,0.009164043,582538
Australia,AUS,2015,0.009164043,566429
Australia,AUS,2016,0.009164043,611138
Australia,AUS,2017,0.009164043,700460
Australia,AUS,2018,0.009164043,699981
Australia,AUS,2019,0.009164043,726119
Australia,AUS,2020,0.009164043,788392
Australia,AUS,2021,0.009094599,773040
Austria,AUT,1995,0.003195,19001
Austria,AUT,1996,0.003195,19579
Austria,AUT,1997,0.003195,19790
Austria,AUT,1998,0.003195,23471
Austria,AUT,1999,0.003195,23471
Austria,AUT,2000,0.003195,31165
Austria,AUT,2001,0.003195,34999
Austria,AUT,2002,0.003195,44895
Austria,AUT,2003,0.003195,57636
Austria,AUT,2004,0.003195,70714
Austria,AUT,2005,0.003195,82551
Austria,AUT,2006,0.003195,109050
Austria,AUT,2007,0.003195,159552
Austria,AUT,2008,0.003195,145795
Austria,AUT,2009,0.003195,169125
Austria,AUT,2010,0.003195,160615
Austria,AUT,2011,0.003195,152769
Austria,AUT,2012,0.003195,164714
Austria,AUT,2013,0.003195,179763
Austria,AUT,2014,0.003195,176937
Austria,AUT,2015,0.003195,161125
Austria,AUT,2016,0.003195,152273
Austria,AUT,2017,0.003195,193223
Austria,AUT,2018,0.003195,187311
Austria,AUT,2019,0.003195,193976
Austria,AUT,2020,0.003195,206174
Austria,AUT,2021,0.003310187,211502
Azerbaijan,AZE,1995,0.003430597,330
Azerbaijan,AZE,1996,0.003430597,957
Azerbaijan,AZE,1997,0.003430597,2089
Azerbaijan,AZE,1998,0.003430597,3095
Azerbaijan,AZE,1999,0.003430597,3605
Azerbaijan,AZE,2000,0.003430597,1791
Azerbaijan,AZE,2001,0.003430597,2018
Azerbaijan,AZE,2002,0.003430597,3410
Azerbaijan,AZE,2003,0.003430597,6695
Azerbaijan,AZE,2004,0.003430597,10251
Azerbaijan,AZE,2005,0.003430597,11930
Azerbaijan,AZE,2006,0.003430597,19099
Azerbaijan,AZE,2007,0.003430597,18515
Azerbaijan,AZE,2008,0.003430597,13766
Azerbaijan,AZE,2009,0.003430597,13780
Azerbaijan,AZE,2010,0.003430597,14253
Azerbaijan,AZE,2011,0.003430597,14816
Azerbaijan,AZE,2012,0.003430597,16281
Azerbaijan,AZE,2013,0.003430597,18285
Azerbaijan,AZE,2014,0.003430597,22117
Azerbaijan,AZE,2015,0.003430597,26748
Azerbaijan,AZE,2016,0.003430597,31229
Azerbaijan,AZE,2017,0.003430597,34008
Azerbaijan,AZE,2018,0.003430597,35486
Azerbaijan,AZE,2019,0.003430597,36931
Azerbaijan,AZE,2020,0.003430597,37832
Azerbaijan,AZE,2021,0.003430597,36243
Burundi,BDI,1995,0.024947917,34
Burundi,BDI,1996,0.024947917,34
Burundi,BDI,1997,0.024947917,34
Burundi,BDI,1998,0.024947917,36
Burundi,BDI,1999,0.024947917,35
Burundi,BDI,2000,0.024947917,47
Burundi,BDI,2001,0.024947917,47
Burundi,BDI,2002,0.024947917,47
Burundi,BDI,2003,0.024947917,47
Burundi,BDI,2004,0.024947917,47
Burundi,BDI,2005,0.024947917,47
Burundi,BDI,2006,0.024947917,10
Burundi,BDI,2007,0.024947917,9
Burundi,BDI,2008,0.024947917,12
Burundi,BDI,2009,0.024947917,13
Burundi,BDI,2010,0.024947917,13
Burundi,BDI,2011,0.024947917,15
Burundi,BDI,2012,0.024947917,14
Burundi,BDI,2013,0.024947917,132
Burundi,BDI,2014,0.024947917,212
Burundi,BDI,2015,0.024947917,252
Burundi,BDI,2016,0.024947917,241
Burundi,BDI,2017,0.024947917,231
Burundi,BDI,2018,0.024947917,227
Burundi,BDI,2019,0.024947917,228
Burundi,BDI,2020,0.024947917,234
Burundi,BDI,2021,0.024947917,242
Belgium,BEL,1995,0.0020165,112960
Belgium,BEL,1996,0.0020165,123883
Belgium,BEL,1997,0.0020165,128728
Belgium,BEL,1998,0.0020165,180492
Belgium,BEL,1999,0.0020165,179924
Belgium,BEL,2000,0.0020165,195219
Belgium,BEL,2001,0.0020165,203537
Belgium,BEL,2005,0.0020165,378156
Belgium,BEL,2006,0.0020165,481356
Belgium,BEL,2007,0.0020165,810944
Belgium,BEL,2008,0.0020165,407403
Belgium,BEL,2009,0.0020165,458295
Belgium,BEL,2010,0.0020165,473358
