ISO3,min,max,count,Country_Name_Metadata,Region,IncomeGroup
ISR,1990,2024,35,Israel,Middle East & North Africa,High income
ITA,1990,2024,35,Italy,Europe & Central Asia,High income
JAM,1990,2024,35,Jamaica,Latin America & Caribbean,Upper middle income
JOR,1990,2024,35,Jordan,Middle East & North Africa,Upper middle income
JPN,1990,2024,35,Japan,East Asia & Pacific,High income
KAZ,1990,2024,35,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,1990,2024,35,Kenya,Sub-Saharan Africa,Lower middle income
KGZ,1990,2024,35,Kyrgyz Republic,Europe & Central Asia,Lower middle income
KHM,1990,2024,35,Cambodia,East Asia & Pacific,Lower middle income
KIR,1990,2024,35,Kiribati,East Asia & Pacific,Lower middle income
KNA,1990,2024,35,St. Kitts and Nevis,Latin America & Caribbean,High income
KOR,1990,2024,35,"Korea, Rep.",East Asia & Pacific,High income
KWT,1990,2024,35,Kuwait,Middle East & North Africa,High income
LAO,1990,2024,35,Lao PDR,East Asia & Pacific,Lower middle income
LBN,1990,2024,35,Lebanon,Middle East & North Africa,Lower middle income
LBR,1990,2024,35,Liberia,Sub-Saharan Africa,Low income
LBY,1990,2024,35,Libya,Middle East & North Africa,Upper middle income
LCA,1990,2024,35,St. Lucia,Latin America & Caribbean,Upper middle income
LIE,1990,2024,35,Liechtenstein,Europe & Central Asia,High income
LKA,1990,2024,35,Sri Lanka,South Asia,Upper middle income
LSO,1990,2024,35,Lesotho,Sub-Saharan Africa,Lower middle income
LTU,1990,2024,35,Lithuania,Europe & Central Asia,High income
LUX,1990,2024,35,Luxembourg,Europe & Central Asia,High income
LVA,1990,2024,35,Latvia,Europe & Central Asia,High income
MAC,1990,2024,35,"Macao SAR, China",East Asia & Pacific,High income
MAF,1990,2024,35,St. Martin (French part),Latin America & Caribbean,High income
MAR,1990,2024,35,Morocco,Middle East & North Africa,Lower middle income
MCO,1990,2024,35,Monaco,Europe & Central Asia,High income
MDA,1990,2024,35,Moldova,Europe & Central Asia,Upper middle income
MDG,1990,2024,35,Madagascar,Sub-Saharan Africa,Low income
MDV,1990,2024,35,Maldives,South Asia,Upper middle income
MEX,1990,2024,35,Mexico,Latin America & Caribbean,Upper middle income
MHL,1990,2024,35,Marshall Islands,East Asia & Pacific,Upper middle income
MKD,1990,2024,35,North Macedonia,Europe & Central Asia,Upper middle income
MLI,1990,2024,35,Mali,Sub-Saharan Africa,Low income
MLT,1990,2024,35,Malta,Middle East & North Africa,High income
MMR,1990,2024,35,Myanmar,East Asia & Pacific,Lower middle income
MNE,1990,2024,35,Montenegro,Europe & Central Asia,Upper middle income
MNG,1990,2024,35,Mongolia,East Asia & Pacific,Upper middle income
MNP,1990,2024,35,Northern Mariana Islands,East Asia & Pacific,High income
MOZ,1990,2024,35,Mozambique,Sub-Saharan Africa,Low income
MRT,1990,2024,35,Mauritania,Sub-Saharan Africa,Lower middle income
MUS,1990,2024,35,Mauritius,Sub-Saharan Africa,Upper middle income
MWI,1990,2024,35,Malawi,Sub-Saharan Africa,Low income
MYS,1990,2024,35,Malaysia,East Asia & Pacific,Upper middle income
NAM,1990,2024,35,Namibia,Sub-Saharan Africa,Lower middle income
NCL,1990,2024,35,New Caledonia,East Asia & Pacific,High income
NER,1990,2024,35,Niger,Sub-Saharan Africa,Low income
NGA,1990,2024,35,Nigeria,Sub-Saharan Africa,Lower middle income
NIC,1990,2024,35,Nicaragua,Latin America & Caribbean,Lower middle income
NLD,1990,2024,35,Netherlands,Europe & Central Asia,High income
NOR,1990,2024,35,Norway,Europe & Central Asia,High income
NPL,1990,2024,35,Nepal,South Asia,Lower middle income
NRU,1990,2024,35,Nauru,East Asia & Pacific,High income
NZL,1990,2024,35,New Zealand,East Asia & Pacific,High income
OMN,1990,2024,35,Oman,Middle East & North Africa,High income
PAK,1990,2024,35,Pakistan,Middle East & North Africa,Lower middle income
PAN,1990,2024,35,Panama,Latin America & Caribbean,High income
PER,1990,2024,35,Peru,Latin America & Caribbean,Upper middle income
PHL,1990,2024,35,Philippines,East Asia & Pacific,Upper middle income
PLW,1990,2024,35,Palau,East Asia & Pacific,High income
PNG,1990,2024,35,Papua New Guinea,East Asia & Pacific,Lower middle income
POL,1990,2024,35,Poland,Europe & Central Asia,High income
PRI,1990,2024,35,Puerto Rico (US),Latin America & Caribbean,High income
PRK,1990,2024,35,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income
PRT,1990,2024,35,Portugal,Europe & Central Asia,High income
PRY,1990,2024,35,Paraguay,Latin America & Caribbean,Upper middle income
PSE,1990,2024,35,West Bank and Gaza,Middle East & North Africa,Lower middle income
PYF,1990,2024,35,French Polynesia,East Asia & Pacific,High income
QAT,1990,2024,35,Qatar,Middle East & North Africa,High income
ROU,1990,2024,35,Romania,Europe & Central Asia,High income
RUS,1990,2024,35,Russian Federation,Europe & Central Asia,High income
RWA,1990,2024,35,Rwanda,Sub-Saharan Africa,Low income
SAU,1990,2024,35,Saudi Arabia,Middle East & North Africa,High income
SDN,1990,2024,35,Sudan,Sub-Saharan Africa,Low income
SEN,1990,2024,35,Senegal,Sub-Saharan Africa,Lower middle income
SGP,1990,2024,35,Singapore,East Asia & Pacific,High income
SLB,1990,2024,35,Solomon Islands,East Asia & Pacific,Lower middle income
SLE,1990,2024,35,Sierra Leone,Sub-Saharan Africa,Low income
SLV,1990,2024,35,El Salvador,Latin America & Caribbean,Upper middle income
SMR,1990,2024,35,San Marino,Europe & Central Asia,High income
SOM,1990,2024,35,"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income
SRB,1990,2024,35,Serbia,Europe & Central Asia,Upper middle income
SSD,1990,2024,35,South Sudan,Sub-Saharan Africa,Low income
STP,1990,2024,35,São Tomé and Principe,Sub-Saharan Africa,Lower middle income
SUR,1990,2024,35,Suriname,Latin America & Caribbean,Upper middle income
SVK,1990,2024,35,Slovak Republic,Europe & Central Asia,High income
SVN,1990,2024,35,Slovenia,Europe & Central Asia,High income
SWE,1990,2024,35,Sweden,Europe & Central Asia,High income
SWZ,1990,2024,35,Eswatini,Sub-Saharan Africa,Lower middle income
SXM,1990,2024,35,Sint Maarten (Dutch part),Latin America & Caribbean,High income
SYC,1990,2024,35,Seychelles,Sub-Saharan Africa,High income
SYR,1990,2024,35,Syrian Arab Republic,Middle East & North Africa,Low income
TCA,1990,2024,35,Turks and Caicos Islands,Latin America & Caribbean,High income
TCD,1990,2024,35,Chad,Sub-Saharan Africa,Low income
TGO,1990,2024,35,Togo,Sub-Saharan Africa,Lower middle income
THA,1990,2024,35,Thailand,East Asia & Pacific,Upper middle income
TJK,1990,2024,35,Tajikistan,Europe & Central Asia,Lower middle income
TKM,1990,2024,35,Turkmenistan,Europe & Central Asia,Upper middle income
TLS,1990,2024,35,Timor-Leste,East Asia & Pacific,Lower middle income
TON,1990,2024,35,Tonga,East Asia & Pacific,Upper middle income
TTO,1990,2024,35,Trinidad and Tobago,Latin America & Caribbean,High income
TUN,1990,2024,35,Tunisia,Middle East & North Africa,Lower middle income
TUR,1990,2024,35,Türkiye,Europe & Central Asia,Upper middle income
TUV,1990,2024,35,Tuvalu,East Asia & Pacific,Upper middle income
TZA,1990,2024,35,Tanzania,Sub-Saharan Africa,Lower middle income
UGA,1990,2024,35,Uganda,Sub-Saharan Africa,Low income
UKR,1990,2024,35,Ukraine,Europe & Central Asia,Upper middle income
URY,1990,2024,35,Uruguay,Latin America & Caribbean,High income
USA,1990,2024,35,United States,North America,High income
UZB,1990,2024,35,Uzbekistan,Europe & Central Asia,Lower middle income
VCT,1990,2024,35,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
VEN,1990,2024,35,"Venezuela, RB",Latin America & Caribbean,Lower middle income
VGB,1990,2024,35,British Virgin Islands,Latin America & Caribbean,High income
VIR,1990,2024,35,Virgin Islands (US),Latin America & Caribbean,High income
VNM,1990,2024,35,Viet Nam,East Asia & Pacific,Upper middle income
VUT,1990,2024,35,Vanuatu,East Asia & Pacific,Lower middle income
WSM,1990,2024,35,Samoa,East Asia & Pacific,Upper middle income
XKX,1990,2024,35,Kosovo,Europe & Central Asia,Upper middle income
YEM,1990,2024,35,"Yemen, Rep.",Middle East & North Africa,Low income
ZAF,1990,2024,35,South Africa,Sub-Saharan Africa,Upper middle income
ZMB,1990,2024,35,Zambia,Sub-Saharan Africa,Lower middle income
ZWE,1990,2024,35,Zimbabwe,Sub-Saharan Africa,Lower middle income
