Row_ID,Country Name,ISO3,Year,Country_Fold,Max_Oil_Rents_Pre2016,Inward_FDI_Net_Flow_asinh,Electricity_Access_Pct_lag1,GDP_log_lag1,Inflation_CPI_Annual_Pct_lag1,Inward_FDI_Net_Flow_asinh_lag1,Oil_Rents_GDP_Pct_lag1,Population_log_lag1
NGA-1997,Nigeria,NGA,1997,0,28.7054393824039,6.844980645973586,39.5453186035156,25.947561117580857,29.26829268292715,6.906308853802894,16.7094356163404,18.549555636890457
NGA-1998,Nigeria,NGA,1998,0,28.7054393824039,6.395486924298172,40.3999824523926,26.025826177432,8.529874213836331,6.844980645973586,14.538489437452,18.5755865072038
NGA-1999,Nigeria,NGA,1999,0,28.7054393824039,7.605806295546284,41.2505683898926,26.10966825697505,9.996378123868064,6.395486924298172,7.09759652792726,18.601720270963884
NGA-2000,Nigeria,NGA,2000,0,28.7054393824039,7.732077882419736,44.9,24.803259195507195,6.618373394797556,7.605806295546284,10.1094177919185,18.62807956292679
NGA-2001,Nigeria,NGA,2001,0,28.7054393824039,7.775375676502796,43.2,24.95985406572364,6.933292155651596,7.732077882419736,22.0499275524037,18.654823541162504
NGA-2002,Nigeria,NGA,2002,0,28.7054393824039,8.229015468971392,43.9,25.021337873357048,18.87364620938625,7.775375676502796,15.2354705757222,18.68198749560408
NGA-2003,Nigeria,NGA,2003,0,28.7054393824039,8.296722907601444,44.6,25.27771161200417,12.87657920310986,8.229015468971392,11.1446404443733,18.70940220105673
NGA-2004,Nigeria,NGA,2004,0,28.7054393824039,8.229010204395015,52.2,25.37473694164657,14.03178361314368,8.296722907601444,12.1202192108891,18.73696955149589
NGA-2005,Nigeria,NGA,2005,0,28.7054393824039,9.206841052571988,46.1,25.634189310289567,14.99803381832511,8.229010204395015,14.4183481253408,18.764674948081677
NGA-2006,Nigeria,NGA,2006,0,28.7054393824039,9.180778500031668,46.8,25.891876316517845,17.86349336616049,9.206841052571988,17.695803965512,18.79236328640918
NGA-2007,Nigeria,NGA,2007,0,28.7054393824039,9.39864755349616,47.6,26.197446438327752,8.227436781209072,9.180778500031668,14.8803763188218,18.819975756107524
NGA-2008,Nigeria,NGA,2008,0,28.7054393824039,9.704313416511116,50.1,26.351824808556486,5.38610421570143,9.39864755349616,13.8343651228424,18.84769376591522
NGA-2009,Nigeria,NGA,2009,0,28.7054393824039,9.747534086191216,50.3,26.550669903031658,11.58305479668096,9.704313416511116,15.529944090028,18.875539104177133
NGA-2010,Nigeria,NGA,2010,0,28.7054393824039,9.397027906143952,50.0,26.41027114328517,12.5379242951095,9.747534086191216,8.67398818858118,18.90341218609621
NGA-2011,Nigeria,NGA,2011,0,28.7054393824039,9.780309473663724,48.0,26.628601573297782,13.74005213636941,9.397027906143952,12.0986066267503,18.931363679538883
NGA-2012,Nigeria,NGA,2012,0,28.7054393824039,9.55674999216698,55.9,26.75025841464022,10.8261371880018,9.780309473663724,15.5113433318503,18.95939153137289
NGA-2013,Nigeria,NGA,2013,0,28.7054393824039,9.317014470340265,53.0,26.863087926532867,12.2242413020582,9.55674999216698,13.0904727134596,18.98713382424097
NGA-2014,Nigeria,NGA,2014,0,28.7054393824039,9.147151059747006,55.6,26.977319969894552,8.495518382656781,9.317014470340265,9.88011499667836,19.01428072319634
NGA-2015,Nigeria,NGA,2015,0,28.7054393824039,8.720678862001929,54.2,27.07621532734836,8.047410879679072,9.147151059747006,7.0738580847829,19.040702862989782
NGA-2016,Nigeria,NGA,2016,0,28.7054393824039,8.84022073190481,52.5,26.923829132854365,9.009434980077064,8.720678862001929,2.78345150643408,19.066064597714888
NGA-2017,Nigeria,NGA,2017,0,28.7054393824039,8.481762893806142,59.3,26.726286171148875,15.69681263879722,8.84022073190481,2.68429043488445,19.090782921492547
NGA-2018,Nigeria,NGA,2018,0,28.7054393824039,7.346329800749148,54.4,26.65217850438236,16.50226621396411,8.481762893806142,5.47262882301734,19.11510001506193
NGA-2019,Nigeria,NGA,2019,0,28.7054393824039,8.436026484360788,56.5,26.76765307259445,12.09510651734316,7.346329800749148,7.69068153465603,19.13822174124813
NGA-2020,Nigeria,NGA,2020,0,28.7054393824039,8.47021804281385,55.4,27.22788328663633,11.39642233781149,8.436026484360788,6.51475056054778,19.160165760371655
NGA-2021,Nigeria,NGA,2021,0,28.7054393824039,8.798819990283754,55.4,27.117837410435914,13.24602342765982,8.47021804281385,3.31241719212516,19.18146873170548
NGA-2022,Nigeria,NGA,2022,0,28.7054393824039,-5.923152340194982,59.5,27.1353266318392,16.95284572216079,8.798819990283754,6.24674969005013,19.202430600131088
OMN-2002,Oman,OMN,2002,1,49.6173962343468,5.386649240637658,100.0,23.82361582763988,-0.8166666666666562,2.351220367460283,36.285347329679,14.652852450339564
OMN-2003,Oman,OMN,2003,1,49.6173962343468,3.911122570377344,100.0,23.861605551163446,-0.2795788225713726,5.386649240637658,33.51317909328,14.66443894546222
OMN-2004,Oman,OMN,2004,1,49.6173962343468,5.40317786129738,100.0,23.9314317187724,0.2313286822671425,3.911122570377344,33.3255110511249,14.675779782416566
OMN-2005,Oman,OMN,2005,1,49.6173962343468,8.031620459653542,100.0,24.068912935072643,0.6249690626313674,5.40317786129738,36.7966643908859,14.692986446308929
