Row_ID,Country Name,ISO3,Year,Country_Fold,Max_Oil_Rents_Pre2016,Inward_FDI_Net_Flow_GDP_Pct_asinh,Electricity_Access_Pct_lag1,GDP_log_lag1,Inflation_CPI_Annual_Pct_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1,Oil_Rents_GDP_Pct_lag1,Population_log_lag1,Regulatory_Quality_lag1
BHR-2005,Bahrain,BHR,2005,0,37.0437374677071,2.5808905021654995,100.0,23.29969973051314,2.352941176470619,2.5829382547798057,16.6530213443367,13.621612653067324,0.8293334
BHR-2006,Bahrain,BHR,2006,0,37.0437374677071,3.451048645557633,100.0,23.49389785892468,2.586206896551728,2.5808905021654995,20.0931217396654,13.697653394560495,0.8246032
BHR-2007,Bahrain,BHR,2007,0,37.0437374677071,2.7866452148460468,100.0,23.641293867780465,2.00746965452849,3.451048645557633,20.3670614713082,13.77513117381093,0.8170927
BHR-2008,Bahrain,BHR,2008,0,37.0437374677071,2.640944799658405,100.0,23.801959631260768,3.256666666667031,2.7866452148460468,18.9906048191926,13.85405411882476,0.9343915
BHR-2009,Bahrain,BHR,2009,0,37.0437374677071,0.9644347558345616,100.0,23.97018102899113,3.526003163637211,2.640944799658405,21.6815768768211,13.913994786052667,0.807801
BHR-2010,Bahrain,BHR,2010,0,37.0437374677071,0.5525555001556877,100.0,23.856070268477445,2.795512835504117,0.9644347558345616,14.4351176966592,13.9796817217709,0.8294237
BHR-2011,Bahrain,BHR,2011,0,37.0437374677071,1.6874200902110423,100.0,24.011890984746,1.96188468334623,0.5525555001556877,17.3156329535965,14.021340286337807,0.8816128999999999
BHR-2012,Bahrain,BHR,2012,0,37.0437374677071,2.279079704403235,100.0,24.121615195239563,-0.40004069748808,1.6874200902110423,23.3980559518896,13.9936743164151,0.9001857999999999
BHR-2013,Bahrain,BHR,2013,0,37.0437374677071,3.0950134503955726,100.0,24.18785746832721,2.757396699629792,2.279079704403235,20.0940234657871,14.005275179632806,0.8032498
BHR-2014,Bahrain,BHR,2014,0,37.0437374677071,2.1801467583083225,100.0,24.244416474494315,3.300011568884423,3.0950134503955726,20.8660137007827,14.041204454381962,0.8199639999999999
