Row_ID,Country Name,ISO3,Year,Country_Fold,Max_Oil_Rents_Pre2016,Inward_FDI_Net_Flow_asinh,Electricity_Access_Pct_lag1,GDP_log_lag1,Inflation_CPI_Annual_Pct_lag1,Inward_FDI_Net_Flow_asinh_lag1,Oil_Rents_GDP_Pct_lag1,Population_log_lag1,Regulatory_Quality_lag1
AGO-2001,Angola,AGO,2001,0,57.5134839616206,8.364261156451073,24.2,22.93478716815446,324.9968716013207,7.4714999991752284,57.5134839616206,16.60020508338647,-1.8066
AGO-2003,Angola,AGO,2003,0,57.5134839616206,8.875419050034438,26.3,23.57463757575465,108.897436089429,8.156799423150828,31.7610292464785,16.667816935053647,-1.6064493
AGO-2004,Angola,AGO,2004,0,57.5134839616206,8.388098995300833,27.4,23.735959849082032,98.22414365733042,8.875419050034438,27.1162657537214,16.702750360850082,-1.6437919
AGO-2005,Angola,AGO,2005,0,57.5134839616206,-7.866214008605291,28.4,24.01902780745321,43.54210675196869,8.388098995300833,32.9626955078503,16.738694934122538,-1.4291062
AGO-2006,Angola,AGO,2006,0,57.5134839616206,-4.323377073451837,29.4,24.44646546773358,22.95351385139399,-7.866214008605291,42.2206783158613,16.775157621533175,-1.4091843
AGO-2007,Angola,AGO,2007,0,57.5134839616206,-7.488117150249233,30.5,24.79491581385931,13.30521017800316,-4.323377073451837,40.2786520912475,16.812006539818828,-1.0973468
AGO-2008,Angola,AGO,2008,0,57.5134839616206,8.119083659944216,37.5,25.014243252518305,12.25149744594868,-7.488117150249233,45.3976036521592,16.849432340085887,-1.072509
AGO-2009,Angola,AGO,2009,0,57.5134839616206,8.391765239728212,38.5,25.3162666049298,12.47582913263979,8.119083659944216,52.1013581243545,16.887215235966003,-1.0819619
AGO-2010,Angola,AGO,2010,0,57.5134839616206,-8.77252083682057,33.8,25.126383183316232,13.73028392884085,8.391765239728212,29.7782995191992,16.92523085298683,-1.0724612
AGO-2011,Angola,AGO,2011,0,57.5134839616206,-8.707407203523235,35.0,25.28288327011974,14.46965649325768,-8.77252083682057,37.7085091832735,16.9637418337911,-1.085063
AGO-2012,Angola,AGO,2012,0,57.5134839616206,-7.982503855169895,34.6,25.5559829428232,13.48246792185111,-8.707407203523235,38.6184358197859,17.002621292125475,-1.1090351
AGO-2013,Angola,AGO,2013,0,57.5134839616206,-9.563812637150273,37.3,25.690108809528063,10.27790492188394,-7.982503855169895,34.3328389540912,17.041457126105513,-1.0374151
AGO-2014,Angola,AGO,2014,0,57.5134839616206,8.897686342385464,38.4,25.72617268134446,8.777814293326237,-9.563812637150273,29.0014846107501,17.079956931502593,-1.0979742
AGO-2015,Angola,AGO,2015,0,57.5134839616206,9.906305098280518,32.0,25.756639708901066,7.280387303611207,8.897686342385464,21.736607448329,17.117284210768364,-1.0271452
AGO-2016,Angola,AGO,2016,0,57.5134839616206,-5.883428296696874,42.0,25.353548721343,9.35597215533784,9.906305098280518,12.7187303090272,17.15333492568806,-1.0904945
AGO-2017,Angola,AGO,2017,0,57.5134839616206,-9.602016912270305,41.8,24.83036290172726,30.69441508067191,-5.883428296696874,19.7483988340046,17.189099338838567,-1.1804234999999998
AGO-2018,Angola,AGO,2018,0,57.5134839616206,-9.465924232422816,42.9,25.173296839008568,29.84447990156793,-9.602016912270305,24.7110060055382,17.22450545979518,-1.1799885
AGO-2019,Angola,AGO,2019,0,57.5134839616206,-9.011518342122592,45.3,25.228682667489498,19.62893797015208,-9.465924232422816,30.7304027285905,17.259037788762317,-1.0624393
AGO-2020,Angola,AGO,2020,0,57.5134839616206,-8.224950466724518,45.6,25.120104896594093,17.08095414343803,-9.011518342122592,27.504828641196,17.292916629916387,-0.9960854
AGO-2021,Angola,AGO,2021,0,57.5134839616206,-9.072253845634943,47.0,24.792498276130445,22.27153924705097,-8.224950466724518,18.5719595053837,17.325596215414812,-1.0388818
AGO-2022,Angola,AGO,2022,0,57.5134839616206,-9.487767949853732,48.2,25.08360810015005,25.75429488418906,-9.072253845634943,28.2744398825844,17.357409440478254,-0.8486184
ARE-2009,United Arab Emirates,ARE,2009,0,35.3156119922356,7.726907918591651,100.0,26.477344058455397,12.25042024481392,9.22285613194936,26.67204274176,15.656483117788786,0.8400373
ARE-2010,United Arab Emirates,ARE,2010,0,35.3156119922356,9.775287030500593,100.0,26.258816462047022,1.5618131744907,7.726907918591651,18.418263242659,15.718671111822667,0.8210812
ARE-2011,United Arab Emirates,ARE,2011,0,35.3156119922356,9.568307901260097,100.0,26.452509242061463,0.8779832882858672,9.775287030500593,22.679737867780705,15.742651228698303,0.7402639999999999
ARE-2012,United Arab Emirates,ARE,2012,0,35.3156119922356,9.859185695324587,100.0,26.63374002782177,0.8773465956851202,9.568307901260097,28.5990789001782,15.7762444335237,0.8903941999999999
ARE-2013,United Arab Emirates,ARE,2013,0,35.3156119922356,9.879698273766069,100.0,26.69655001576627,0.6622689002690088,9.859185695324587,27.0648520266069,15.81583434948212,0.8455589
ARE-2014,United Arab Emirates,ARE,2014,0,35.3156119922356,10.005280044192435,100.0,26.73852643559476,1.101118363757104,9.879698273766069,26.2480640478396,15.855825542058056,0.9903687
ARE-2015,United Arab Emirates,ARE,2015,0,35.3156119922356,9.746939219879474,100.0,26.7752040158964,2.346268656716426,10.005280044192435,22.9458647037024,15.902354757238944,1.0740463999999998
ARE-2016,United Arab Emirates,ARE,2016,0,35.3156119922356,9.863162624669098,100.0,26.668616117200592,4.069966083615932,9.746939219879474,13.1025344354216,15.956192766959662,1.1787876
ARE-2017,United Arab Emirates,ARE,2017,0,35.3156119922356,9.938296917691757,100.0,26.66794587983633,1.617488089041977,9.863162624669098,11.0807563620506,16.005497450782077,1.0781755
ARE-2018,United Arab Emirates,ARE,2018,0,35.3156119922356,9.941292458529643,100.0,26.72310783521386,1.96682557818842,9.938296917691757,13.4985731745503,16.037235425875135,1.1113817
