sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2912,917,141,43,Ridge,M2_Macro_Oil,0.36473547926202576,1.660495628561397,0.8176322627050601,6.862583293717623,4.142940818450026,-10.95089662686945,-9.025010000680952,7.382249928113749,13.293911514120428,13.838121004351278,-0.18077047489406173,6.778266339777869,12.284226523904007,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2912,917,141,43,Ridge,M3_Macro_Oil_RegQuality,0.368693707509824,1.651606630928269,0.8340611783092937,6.862583293717623,4.142940818450026,-10.95089662686945,-9.025010000680952,7.382249928113749,13.293911514120428,13.838121004351278,-0.014515153622707722,6.7586201740304865,12.249342340003416,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,772,147,37,ElasticNet,M2_Macro_Oil,0.21827381078492025,1.7484081100268865,0.8619436980459176,7.198127087023561,3.9652200385119705,-13.357856330676658,-9.165255393456345,7.710645844809823,13.0691585842877,13.441762049745485,-0.8994877342445884,6.975582121251283,12.436247506598857,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,772,147,37,ElasticNet,M3_Macro_Oil_RegQuality,0.22238094280580023,1.7349784989098185,0.8481840683668773,7.198127087023561,3.9652200385119705,-13.357856330676658,-9.165255393456345,7.710645844809823,13.0691585842877,13.441762049745485,-0.8775289710324454,7.016438796681782,12.22592237929123,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,772,147,37,RandomForest,M2_Macro_Oil,0.21966152035917863,1.7285165436416443,0.7363329481357752,7.198127087023561,3.9652200385119705,-13.357856330676658,-9.165255393456345,7.710645844809823,13.0691585842877,13.441762049745485,-1.610944407479537,7.033446920466858,13.327351704919923,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,772,147,37,RandomForest,M3_Macro_Oil_RegQuality,0.2549826227015124,1.7017268248360085,0.7358137354698071,7.198127087023561,3.9652200385119705,-13.357856330676658,-9.165255393456345,7.710645844809823,13.0691585842877,13.441762049745485,-1.0612420019554256,7.07218704533372,12.144401393400873,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,772,147,37,Ridge,M2_Macro_Oil,0.2178110079197244,1.7458354240349092,0.8555175178717915,7.198127087023561,3.9652200385119705,-13.357856330676658,-9.165255393456345,7.710645844809823,13.0691585842877,13.441762049745485,-0.9452914584240402,6.9795695704944425,12.46570603804847,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,772,147,37,Ridge,M3_Macro_Oil_RegQuality,0.2222622913027389,1.7313732270925803,0.8400243599445867,7.198127087023561,3.9652200385119705,-13.357856330676658,-9.165255393456345,7.710645844809823,13.0691585842877,13.441762049745485,-0.9408856899052704,7.032330886437884,12.24126895671218,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_3,3074,755,148,36,ElasticNet,M2_Macro_Oil,0.37093302637578207,1.9561973232824394,0.9150066044141445,5.508867186157326,4.464326734568588,-13.253513466258305,-9.486117611137665,6.62731465694235,12.929995300324865,14.199175086912016,-1.0460193538288136,5.892392525005094,11.06401047968515,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_3,3074,755,148,36,ElasticNet,M3_Macro_Oil_RegQuality,0.36933114762845454,1.9789742048356085,0.9633332233455203,5.508867186157326,4.464326734568588,-13.253513466258305,-9.486117611137665,6.62731465694235,12.929995300324865,14.199175086912016,-0.9273383005648066,5.920630854429899,11.068495823221305,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
