Feature_Set,Model,N_obs,N_countries,R2_mean,R2_std,R2_min,R2_max,RMSE_mean,RMSE_std,MAE_mean,MAE_std
M0,XGBoost,2423,92,0.1525439686364002,0.12214104678813281,0.022564537253977557,0.3558586186390277,2.146834442572305,0.2784831959415827,1.7148110510364798,0.22009844677085005
M0,LightGBM,2423,92,0.1349662670832241,0.12480783943744582,0.030068661260397755,0.3517499920111036,2.164100616314998,0.2465558483660174,1.7265088810348288,0.18791292954485797
M0,GradBoost,2423,92,0.12524268661872198,0.12291902224040786,0.0092973624142354,0.3476636520997969,2.177121029320039,0.25011245480772887,1.7360452626647764,0.19386081222291132
M0,RandomForest,2423,92,0.07279538368431775,0.12701939163928427,-0.03886195680286675,0.2991496561372293,2.240674612301215,0.24504990422449266,1.7896911061408283,0.18417303260985476
M0,Dummy_mean,2423,92,-0.02332102536187768,0.035288092907150445,-0.09252680086920684,-0.0006262240904117977,2.3572130631695574,0.1638264080125223,1.9125658688149823,0.17099987203739614
M0,ElasticNet,2423,92,-0.02372083853648963,0.03601827495041277,-0.09439559068901437,-0.0006262240904117977,2.35759368262109,0.163168642274472,1.9124436053985998,0.1713197244018011
M0,Ridge,2423,92,-0.025568447200958522,0.03738676059296734,-0.09906277847671419,-0.0007901044925062717,2.359573679773841,0.162047613120232,1.9151785302174975,0.17151521210679244
M1,Ridge,2160,90,0.858232287081627,0.03801497362290381,0.8003074091029013,0.9013603936948386,0.7681678027008405,0.06504816205715507,0.5887975440338123,0.04956880925496531
M1,ElasticNet,2160,90,0.855632056399758,0.03826507026151389,0.7915834458681532,0.8938936499524078,0.7772409507721963,0.07512361053233282,0.5985315469727324,0.060905287771792424
M1,LightGBM,2160,90,0.8171743746239164,0.056172809430815644,0.7536707349955791,0.9141694316480032,0.8639987700063898,0.0939554167854607,0.6323693860779942,0.04087050091523427
M1,GradBoost,2160,90,0.8093877084967935,0.056568789963429844,0.7507430337388663,0.9135612793287007,0.8810431661768643,0.08384117424941126,0.6468081226915583,0.04865988034845763
M1,XGBoost,2160,90,0.8059666690143302,0.05876888374927173,0.7428443950600618,0.9107366398688059,0.8912750757341763,0.10897394125399641,0.6507009976382617,0.05220893684486208
M1,RandomForest,2160,90,0.7902859784519375,0.049442187618827634,0.7433424306103651,0.884974082116669,0.9362983966387854,0.1025743234890918,0.6907019522646859,0.05126400026032279
M1,Dummy_mean,2160,90,-0.07454023813486862,0.09147896664301149,-0.23974425249556264,-0.0026325081610201195,2.1537130001299425,0.22003583361331225,1.76113106349734,0.1753792037656446
M2,ElasticNet,914,92,0.2198412679157265,0.1614370670837377,0.016791282858702017,0.3906029013268344,1.6802471450508185,0.14473456093025816,1.3790240544278982,0.14182813832423743
M2,Ridge,914,92,0.20751716161975226,0.19455452964041298,-0.033058899056714885,0.41780161961692475,1.6842955050873456,0.1203992941410619,1.380274293754535,0.1146719393349879
M2,LightGBM,914,92,0.022289183910054765,0.29693254949257725,-0.38716110202630527,0.2950174802973682,1.857556306318461,0.136851163985711,1.488317026473968,0.13989097055219146
M2,XGBoost,914,92,0.01321563050089698,0.34627429446424046,-0.5189574379118342,0.3556336877372489,1.851462013557444,0.11750393719970116,1.4827089963228617,0.11702082274719107
M2,GradBoost,914,92,-0.010807005391260182,0.3826308199506224,-0.5932431423523039,0.35201885775044683,1.8663013027618731,0.13668193330593778,1.4870383256788053,0.12072659896249137
M2,Dummy_mean,914,92,-0.01486478317768265,0.01818601978104856,-0.039055223535362504,-5.0382540361937345e-09,1.9519109988053356,0.2997847287966767,1.6015018159632242,0.33752166717915333
M2,RandomForest,914,92,-0.024368288405973448,0.3865400347711452,-0.6137547514838699,0.3745185149750352,1.877072669742084,0.11785196508635715,1.4901442545633203,0.11121141604681385
M3,Ridge,2148,90,0.8509454474844704,0.08341007366066036,0.6884607471782145,0.9155267840101167,0.7770155047700021,0.14648343013771237,0.5935141670444335,0.1074338541525399
M3,ElasticNet,2148,90,0.8465385883940941,0.07846766673239348,0.7025257082056093,0.9245026168168173,0.7891909806903323,0.14187208418272831,0.6095741567247777,0.10404798829112129
M3,LightGBM,2148,90,0.8288701379185153,0.07709239121947362,0.6815633960532304,0.908448985753041,0.8443015665104084,0.13943558919049145,0.6291022606631534,0.08739796326975935
M3,GradBoost,2148,90,0.8288677087006212,0.07190061969855145,0.6904363426650095,0.8988764717237964,0.8480969498199478,0.12967134259032673,0.6364368883266662,0.08336298506684724
M3,XGBoost,2148,90,0.8150026294006553,0.09728433452140556,0.6251603039851379,0.9030203100074812,0.8697578241625885,0.158638094362632,0.6440298261451523,0.09799039667735389
M3,RandomForest,2148,90,0.7976240450489762,0.060090635832602775,0.7016650038133758,0.8822702342720579,0.9322393678292311,0.12096692583618508,0.6961232283903132,0.07643736427085275
M3,Dummy_mean,2148,90,-0.02659523980171268,0.021349683713437755,-0.06568521357691082,-0.003168179207887256,2.143116503515442,0.23837289448570081,1.7503338813880585,0.22481668812305472
M4,ElasticNet,870,90,0.8409895355960624,0.09225696369473671,0.6575344158117,0.9025330758686051,0.6536006068879306,0.09892200628845829,0.5213357311729175,0.0727093558447814
M4,Ridge,870,90,0.8236506899092382,0.11590698152645408,0.5944665343344923,0.9127508891773154,0.6796564714288837,0.12665478556609577,0.524310462614282,0.056897439891910824
M4,GradBoost,870,90,0.7176611923631283,0.20198213715554084,0.32373820115185814,0.8943493201366276,0.8400547005581833,0.14910522190889713,0.6165651661111813,0.11339696983014752
M4,RandomForest,870,90,0.6938940836088687,0.18328916448927732,0.36908564841907643,0.906039062692113,0.8893568824335633,0.1957965034672705,0.6730342312666914,0.12826734456315006
M4,LightGBM,870,90,0.6880224591693843,0.29637770287406784,0.10026569650981265,0.8883086286452364,0.8265368236789316,0.1192304702687495,0.6204756751813856,0.11279956103690865
M4,XGBoost,870,90,0.6817900179391293,0.28897114849269573,0.10902316022466951,0.895228133302817,0.8481057613876976,0.14065071030002857,0.6152322855405931,0.11602418464435386
M4,Dummy_mean,870,90,-0.009950528047148887,0.011686551523220763,-0.03269824480547623,-0.0014972429770077067,1.8110311789249085,0.47986054269220985,1.5497163261318334,0.4201947301582345
M5,ElasticNet,180,60,0.8340433843573465,0.07136875398101616,0.7516894348081338,0.9560203907222984,0.6030944194165643,0.12813353436627517,0.4883679973366387,0.10620097350193904
M5,Ridge,180,60,0.7981284621561648,0.07858004906360143,0.6949794288991329,0.9196390482061161,0.6760602521347148,0.11438088713380076,0.5421472018925912,0.10569424421817711
M5,GradBoost,180,60,0.7537710720178945,0.07776304847063878,0.6338590323731741,0.8560325773279193,0.7547575067719883,0.06183245681538982,0.5937582000659819,0.06736995667341299
