Target,Feature_Set,Model,N_obs,N_countries,R2_mean,R2_std,R2_min,R2_max,RMSE_mean,RMSE_std,MAE_mean,MAE_std
FDI_GDP_Pct,M0,Dummy_mean,2423,92,-0.12635305156726306,0.11690396758512275,-0.29352649619047555,-0.006368646261681432,37.649498122336816,12.181871063512382,26.851511677554374,6.249539397797808
FDI_GDP_Pct,M0,Ridge,2423,92,-0.1343362775658993,0.14291348477046703,-0.3691951889009182,0.011704326894004913,37.66838598793596,11.966348969163407,26.834600671209046,6.210685135309001
FDI_GDP_Pct,M0,ElasticNet,2423,92,-0.13302553559001265,0.1396238341225898,-0.3586971689033287,0.010756371791202701,37.65906828869145,11.985540381688025,26.830413041775234,6.213584470247292
FDI_GDP_Pct,M0,RandomForest,2423,92,-0.338812436388034,0.375567816931117,-1.0433566815419595,-0.07212141800706218,39.85841821164727,10.71053138543102,28.74544343956695,5.61144460367533
FDI_GDP_Pct,M0,GradBoost,2423,92,-0.26064361639756745,0.32186186910708403,-0.8787785341075556,0.00029948196891960155,38.993101380608714,11.195239359109824,27.913566818299433,5.787244658893162
FDI_GDP_Pct,M0,XGBoost,2423,92,-0.22393553963351956,0.26180865636306977,-0.7264849725486988,-0.041295608564624775,38.63891948057658,11.310300934256738,27.70288865807917,5.743254599376862
FDI_GDP_Pct,M0,LightGBM,2423,92,-0.2555985073601853,0.3304345109066146,-0.9016493773995056,-0.03972487990006157,38.89868268094612,11.13402261733981,27.808207512976065,5.677556653029746
FDI_GDP_Pct,M1,Dummy_mean,2160,90,-0.06320951024169293,0.05554771241628434,-0.15539819661811705,-0.0027892085309042525,38.856536918240955,9.882139204074273,27.32762929984825,4.2103059741933
FDI_GDP_Pct,M1,Ridge,2160,90,0.2968936395921359,0.25244591207039563,-0.0078050568244316665,0.6218344196616392,29.80278085491746,4.209767377109116,21.301643993404127,1.6595731759584875
FDI_GDP_Pct,M1,ElasticNet,2160,90,0.30075131779393083,0.24386647917680074,-0.003641441928315281,0.6116480883147177,29.785055989186628,4.187148087068578,21.25017569862458,1.5875348932343938
FDI_GDP_Pct,M1,RandomForest,2160,90,0.11857322185423595,0.4152082364682097,-0.40514420527650374,0.5332606841845475,32.500210325989144,3.2396285604662047,22.518759717560997,1.4167477263334256
FDI_GDP_Pct,M1,GradBoost,2160,90,0.08056271835890641,0.478631075216524,-0.6878136745993688,0.5341031551317437,32.80633320639464,2.5258924090483275,22.642150055822615,1.1746452904978
FDI_GDP_Pct,M1,XGBoost,2160,90,0.153151256887933,0.41330409973100757,-0.4291929231501206,0.6168927541009026,31.667610542636567,3.330713795155188,22.198009137289144,1.3237538441020527
FDI_GDP_Pct,M1,LightGBM,2160,90,0.11027159265494244,0.5014100937214964,-0.7854252597416924,0.5994268250396252,32.04725123608871,2.7461857093272304,22.27325971572542,1.3480952372596298
FDI_GDP_Pct,M2,Dummy_mean,914,92,-0.04548632006327602,0.0753147224523881,-0.19500253580240878,-9.143592729188299e-05,43.32807913322641,7.477063047158651,30.613455880357275,3.935202502511976
FDI_GDP_Pct,M2,Ridge,914,92,-0.020844989948081327,0.15618497585444827,-0.23303107564897263,0.1388995815083287,42.607979798994236,7.452220259259906,30.126371697751427,3.68572916045072
FDI_GDP_Pct,M2,ElasticNet,914,92,-0.01393587799974596,0.1439495272978264,-0.23244286238767287,0.13263062295154315,42.466815095346746,7.231575017233883,30.059248556434785,3.542558032044848
FDI_GDP_Pct,M2,RandomForest,914,92,-0.39246726218546485,0.19946799107695534,-0.6483234794693711,-0.06868952285514496,49.65004508441812,7.81132481905564,35.6154891255605,4.674675227547144
FDI_GDP_Pct,M2,GradBoost,914,92,-0.3042126696916528,0.1846749676495933,-0.545111460172736,0.012691174229924385,48.29562454176605,8.681379299015836,33.66940803907809,5.4744059406366095
FDI_GDP_Pct,M2,XGBoost,914,92,-0.2611049546349877,0.21378192997909035,-0.46081110989103324,0.14247029229561858,47.26143596841074,8.40936757356732,33.30466399654605,5.285296210526187
FDI_GDP_Pct,M2,LightGBM,914,92,-0.2597064012655694,0.11721644864282721,-0.37479245760668634,-0.041892590877133484,47.689296116883504,8.954639782862571,33.530238453082816,5.984522404399132
FDI_GDP_Pct,M3,Dummy_mean,2148,90,-0.11315151476971139,0.1969998092578126,-0.5064733101433161,-0.0013063031350248888,39.55693637368794,7.082047275899706,27.45628388026022,2.861340725795499
FDI_GDP_Pct,M3,Ridge,2148,90,0.3042623706864941,0.325623320888964,-0.26836357649292997,0.599436933745288,29.703062500910825,4.284308616009384,21.27059622795189,2.55906615692746
FDI_GDP_Pct,M3,ElasticNet,2148,90,0.3146534488316194,0.30609196606766137,-0.21209883446465483,0.5944514851259994,29.60953308129886,4.404925023342019,21.226665994766286,2.5697882937187257
FDI_GDP_Pct,M3,RandomForest,2148,90,0.07710277200361286,0.6130012520004894,-1.1047231866577918,0.5887564846805704,32.83431902728184,4.029739303340692,22.392950666582884,2.4278589935253105
FDI_GDP_Pct,M3,GradBoost,2148,90,0.13554794894700453,0.48473013932529313,-0.8225973417784118,0.4483368813362064,32.60085167684271,2.6789975147260248,21.74761164911201,1.8495157480318916
FDI_GDP_Pct,M3,XGBoost,2148,90,0.1461411043177072,0.457846898498739,-0.7524636997462,0.46007497411141274,32.5573842414357,3.0709522405954375,22.09735059788543,2.071784039876273
FDI_GDP_Pct,M3,LightGBM,2148,90,0.20449998553095677,0.33274285736194925,-0.4239575908492257,0.48857320951957994,32.097999639407405,3.8945064702405965,21.973579958271905,2.3518231750589713
FDI_GDP_Pct,M4,Dummy_mean,870,90,-0.4633966319408083,0.8081727617172151,-2.0729913372934154,-0.01038829777457062,43.28762542943475,13.866956958223854,31.84569838485408,8.863783661716807
FDI_GDP_Pct,M4,Ridge,870,90,-1.2060368187194195,3.0146455450808105,-7.20500798927395,0.7529179571731861,38.13836855075374,9.952258485885178,26.156254765230887,5.779409307019442
FDI_GDP_Pct,M4,ElasticNet,870,90,-0.982341499342971,2.597250057399195,-6.143819076971961,0.7652416419224233,37.22818454691534,9.47416326187701,25.801946751376455,5.879838533020746
FDI_GDP_Pct,M4,RandomForest,870,90,-0.2188245204453277,0.7117328057461396,-1.4235324900398512,0.6877416095513105,38.047461707576886,12.581023927119054,28.883910578521608,10.286068682281247
FDI_GDP_Pct,M4,GradBoost,870,90,-0.3295693680780102,1.04945206054112,-2.3099384017593225,0.6948943850085803,37.271558427826456,10.039891457893884,27.881422954803195,8.505867515561432
FDI_GDP_Pct,M4,XGBoost,870,90,-0.18859578973844415,0.7453668191230357,-1.4565667977454266,0.7387180722327346,36.946925143375815,12.18348485319051,27.881424130844835,9.672491005817156
FDI_GDP_Pct,M4,LightGBM,870,90,-0.20445282420588326,0.8762220796276923,-1.7486496045302027,0.7728132248454964,35.65852331491867,10.394158446493083,26.601180018748046,8.702101514413464
FDI_GDP_Pct,M5,Dummy_mean,180,60,-0.16664112048580443,0.21714323325821724,-0.5934499318479722,-0.0013008681571917702,35.28209185386088,10.463590663351036,24.635400871553117,4.652977930473228
FDI_GDP_Pct,M5,Ridge,180,60,0.11887459429877612,0.5883641870636532,-0.8928581151986594,0.8789692877255022,25.689494599366526,4.916432481256165,21.47730060017937,3.3224899161072896
FDI_GDP_Pct,M5,ElasticNet,180,60,0.2183441299272026,0.4670337078002171,-0.5352850966970497,0.9029968325318743,24.58878121982815,5.800061551223043,20.284007422996666,4.1417753450317925
FDI_GDP_Pct,M5,RandomForest,180,60,0.24317281663018103,0.2346961986273518,-0.03609608972814726,0.5703244080353398,27.52962662127076,6.548363158920774,20.73557497284684,4.6347720851161895
FDI_GDP_Pct,M5,GradBoost,180,60,0.24784943166242135,0.3188423681826834,-0.16776029649094126,0.788701075318876,26.007168811470137,5.35448343694135,19.9975109075743,3.5055673045096847
FDI_GDP_Pct,M5,XGBoost,180,60,0.303623077700521,0.4441946162062174,-0.34632905803702707,0.7927777033670345,23.762130769956023,5.926506617706009,18.307717474349054,3.7284496122782738
FDI_GDP_Pct,M5,LightGBM,180,60,-0.012460238028815662,0.32758076665098107,-0.5451036366943902,0.36828895584206434,31.68748439688976,6.712480685800352,22.949246925424454,4.34632160260302
FDI_GDP_Pct,M6,Dummy_mean,120,60,-0.16458333624328508,0.2154793751712619,-0.5881600232323421,-0.002452089042257244,35.76883082641714,10.489488119875258,24.953666806200655,4.719645788839415
FDI_GDP_Pct,M6,Ridge,120,60,-0.020483510995215327,0.8226241387026996,-1.5404611152273597,0.8606978917482297,27.17207631409289,5.061622383253954,22.457684455361356,3.490892467938749
FDI_GDP_Pct,M6,ElasticNet,120,60,0.07661913269114218,0.6734736025855763,-1.140755467166076,0.8800475204694369,26.420202708287796,5.68228834477504,21.857158547986874,3.6889253001407964
FDI_GDP_Pct,M6,RandomForest,120,60,0.17757165567825844,0.20266826563262197,-0.10261569542258431,0.37375016968591945,29.882640686121544,8.614960544706134,22.103960322495233,5.663204075286418
FDI_GDP_Pct,M6,GradBoost,120,60,0.18265699075854022,0.45825271800561157,-0.6436782716360265,0.6826150551189287,27.26683973570577,5.083897010793653,21.18521679281337,3.4018538841978097
FDI_GDP_Pct,M6,XGBoost,120,60,0.1499444705647993,0.6514921439508038,-1.0262321991146788,0.7825196567827654,25.704627469909212,5.550181171673457,20.119032324291428,3.6886652260338164
FDI_GDP_Pct,M6,LightGBM,120,60,-0.36539287873597137,0.5625330522363945,-1.3292389682725854,0.2628146392272458,36.4132672077316,6.369864753101102,27.578989321276516,4.597150055699652
