sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,Ridge,signal_increment,182,2000,182,182,102,115.0,130,67.0,True,cd7e00f86ce90aa5f46707bf644e1b7cda2af81a24cc49fbe02432d5330a47ea
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,Ridge,added_model_vs_strongest_benchmark,182,2000,182,182,102,115.0,130,67.0,True,cd7e00f86ce90aa5f46707bf644e1b7cda2af81a24cc49fbe02432d5330a47ea
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,ElasticNet,signal_increment,182,2000,182,182,102,115.0,130,67.0,True,cd7e00f86ce90aa5f46707bf644e1b7cda2af81a24cc49fbe02432d5330a47ea
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,ElasticNet,added_model_vs_strongest_benchmark,182,2000,182,182,102,115.0,130,67.0,True,cd7e00f86ce90aa5f46707bf644e1b7cda2af81a24cc49fbe02432d5330a47ea
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,RandomForest,signal_increment,182,2000,182,182,102,115.0,130,67.0,True,cd7e00f86ce90aa5f46707bf644e1b7cda2af81a24cc49fbe02432d5330a47ea
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,RandomForest,added_model_vs_strongest_benchmark,182,2000,182,182,102,115.0,130,67.0,True,cd7e00f86ce90aa5f46707bf644e1b7cda2af81a24cc49fbe02432d5330a47ea
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2016__test_from_2017,Ridge,signal_increment,181,2000,181,181,99,115.0,128,66.0,True,367cb33aa25c54f1236231e5a9145039cf6c5f5277238c9b5619eb19b53cda3b
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2016__test_from_2017,Ridge,added_model_vs_strongest_benchmark,181,2000,181,181,99,115.0,128,66.0,True,367cb33aa25c54f1236231e5a9145039cf6c5f5277238c9b5619eb19b53cda3b
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2016__test_from_2017,ElasticNet,signal_increment,181,2000,181,181,99,115.0,128,66.0,True,367cb33aa25c54f1236231e5a9145039cf6c5f5277238c9b5619eb19b53cda3b
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2016__test_from_2017,ElasticNet,added_model_vs_strongest_benchmark,181,2000,181,181,99,115.0,128,66.0,True,367cb33aa25c54f1236231e5a9145039cf6c5f5277238c9b5619eb19b53cda3b
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2016__test_from_2017,RandomForest,signal_increment,181,2000,181,181,99,115.0,128,66.0,True,367cb33aa25c54f1236231e5a9145039cf6c5f5277238c9b5619eb19b53cda3b
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2016__test_from_2017,RandomForest,added_model_vs_strongest_benchmark,181,2000,181,181,99,115.0,128,66.0,True,367cb33aa25c54f1236231e5a9145039cf6c5f5277238c9b5619eb19b53cda3b
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2018__test_from_2019,Ridge,signal_increment,177,2000,177,177,98,112.0,127,65.0,True,10ab075c3d84111436988c95a1bcf04aaf905295773d5f0a828b310252074dcd
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2018__test_from_2019,Ridge,added_model_vs_strongest_benchmark,177,2000,177,177,98,112.0,127,65.0,True,10ab075c3d84111436988c95a1bcf04aaf905295773d5f0a828b310252074dcd
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2018__test_from_2019,ElasticNet,signal_increment,177,2000,177,177,98,112.0,127,65.0,True,10ab075c3d84111436988c95a1bcf04aaf905295773d5f0a828b310252074dcd
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2018__test_from_2019,ElasticNet,added_model_vs_strongest_benchmark,177,2000,177,177,98,112.0,127,65.0,True,10ab075c3d84111436988c95a1bcf04aaf905295773d5f0a828b310252074dcd
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2018__test_from_2019,RandomForest,signal_increment,177,2000,177,177,98,112.0,127,65.0,True,10ab075c3d84111436988c95a1bcf04aaf905295773d5f0a828b310252074dcd
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2018__test_from_2019,RandomForest,added_model_vs_strongest_benchmark,177,2000,177,177,98,112.0,127,65.0,True,10ab075c3d84111436988c95a1bcf04aaf905295773d5f0a828b310252074dcd
