sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,30,2000,30,30,13,19.0,25,11.0,True,7b6cb43d6f865373876152e6c391c4b0b6dc83576fa77b1805a776be8953724d
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,30,2000,30,30,13,19.0,25,11.0,True,7b6cb43d6f865373876152e6c391c4b0b6dc83576fa77b1805a776be8953724d
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,30,2000,30,30,13,19.0,25,11.0,True,7b6cb43d6f865373876152e6c391c4b0b6dc83576fa77b1805a776be8953724d
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,30,2000,30,30,13,19.0,25,11.0,True,7b6cb43d6f865373876152e6c391c4b0b6dc83576fa77b1805a776be8953724d
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,30,2000,30,30,13,19.0,25,11.0,True,7b6cb43d6f865373876152e6c391c4b0b6dc83576fa77b1805a776be8953724d
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,30,2000,30,30,13,19.0,25,11.0,True,7b6cb43d6f865373876152e6c391c4b0b6dc83576fa77b1805a776be8953724d
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,29,2000,29,29,14,18.0,24,11.0,True,391aab15050d43bc87e1481d1e8e96bb04f006c1c604da043c06f02b7ceb56a5
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,29,2000,29,29,14,18.0,24,11.0,True,391aab15050d43bc87e1481d1e8e96bb04f006c1c604da043c06f02b7ceb56a5
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,29,2000,29,29,14,18.0,24,11.0,True,391aab15050d43bc87e1481d1e8e96bb04f006c1c604da043c06f02b7ceb56a5
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,29,2000,29,29,14,18.0,24,11.0,True,391aab15050d43bc87e1481d1e8e96bb04f006c1c604da043c06f02b7ceb56a5
