sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,777,34,669557835,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.0020852675238062224,0.00220437190946543,0.002112322199150244,-0.005996231813752526,0.009756113409578219,0.00011910438565920778,0.00011910438565920778,0.712,0.4685,0.235,0.021,-0.0023245926201553857,-0.002086643619815476,-0.05216951231397464,0.050408174098998317,Setup-dependent,34,2000,34,34,16,22.0,28,12.0,True,0eb0dcf33cf8a376a358f8b62fc79dbd9488aaec77267a61d3cf6565600ea5f4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,777,34,669557835,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.16905097303632255,0.16952542032984347,0.17203596523975892,0.04763762422662885,0.3096737403435745,0.00047444729352091874,0.00047444729352091874,0.9965,0.9965,0.9965,0.9945,0.5280641545430131,0.5268150542620826,0.2745390764394363,0.8282453897889777,Supported and practically material,34,2000,34,34,16,22.0,28,12.0,True,0eb0dcf33cf8a376a358f8b62fc79dbd9488aaec77267a61d3cf6565600ea5f4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,777,34,669557835,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.0020528211779535788,0.0022003721408397348,0.0020810928874895646,-0.005907086847340608,0.00945945564080736,0.000147550962886156,0.000147550962886156,0.712,0.465,0.229,0.017,-0.0027749170059827577,-0.0026887902914429773,-0.052310018755810796,0.04913343963837795,Setup-dependent,34,2000,34,34,16,22.0,28,12.0,True,0eb0dcf33cf8a376a358f8b62fc79dbd9488aaec77267a61d3cf6565600ea5f4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,777,34,669557835,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.16926710826616354,0.16972427895692693,0.17226181435250584,0.04711102535707064,0.3103676728976147,0.00045717069076339767,0.00045717069076339767,0.9965,0.9965,0.996,0.9945,0.5314548661965248,0.5312013725896203,0.27763201494854545,0.83221631039251,Supported and practically material,34,2000,34,34,16,22.0,28,12.0,True,0eb0dcf33cf8a376a358f8b62fc79dbd9488aaec77267a61d3cf6565600ea5f4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,777,34,669557835,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.0013428922012046485,-0.0008232260580042228,-0.0008740693628050513,-0.04278556404333434,0.0394748805104056,0.0005196661432004257,0.0005196661432004257,0.484,0.4325,0.378,0.29,0.014074704436250585,0.015288600070021197,-0.11492495656971288,0.1367537883255355,Setup-dependent,34,2000,34,34,16,22.0,28,12.0,True,0eb0dcf33cf8a376a358f8b62fc79dbd9488aaec77267a61d3cf6565600ea5f4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,777,34,669557835,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.08179207572846736,0.08411016015948197,0.08331870793803495,-0.07151845080525772,0.23694257810719366,0.002318084431014611,0.002318084431014611,0.844,0.838,0.833,0.8205,0.7281463855474568,0.7266736777954921,0.38310220047893073,1.130091847133585,Directionally positive but marginal,34,2000,34,34,16,22.0,28,12.0,True,0eb0dcf33cf8a376a358f8b62fc79dbd9488aaec77267a61d3cf6565600ea5f4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,Ridge,296,33,2738023798,signal_increment,M1_Macro,M2_Macro_Oil,2000,-1.6693971109038586e-05,-0.0003800783049489609,-0.00023582157288305793,-0.0071857381169268065,0.007618575983161917,-0.0003633843338399223,0.0003633843338399223,0.459,0.246,0.0975,0.004,-0.05181820921992841,-0.05093894507289387,-0.08624457180054369,-0.017282893670747427,Setup-dependent,33,2000,33,33,16,21.0,27,12.0,True,9b8cad8fbad224ce1339d37f0cf1e5e368bcdd46003aa4abb135757341878447
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,Ridge,296,33,2738023798,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.18794737362618041,0.19247408689954143,0.20118340057895645,0.0112884407153007,0.44963827349788893,0.004526713273361016,0.004526713273361016,0.983,0.983,0.982,0.977,0.21721098008517226,0.1938934620557995,-0.30722179632984864,0.8309350045901908,Supported and practically material,33,2000,33,33,16,21.0,27,12.0,True,9b8cad8fbad224ce1339d37f0cf1e5e368bcdd46003aa4abb135757341878447
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,296,33,2738023798,signal_increment,M1_Macro,M2_Macro_Oil,2000,4.1659724564491185e-06,-0.0003427638475962391,-0.00021139169810560854,-0.007059303348505788,0.00751506238171798,-0.00034692982005268824,0.00034692982005268824,0.4615,0.2455,0.095,0.0035,-0.05157662298588184,-0.05064320148355672,-0.08531224041487283,-0.01765271974917008,Setup-dependent,33,2000,33,33,16,21.0,27,12.0,True,9b8cad8fbad224ce1339d37f0cf1e5e368bcdd46003aa4abb135757341878447
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,296,33,2738023798,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.18805591430882285,0.19265145537281736,0.2013420997178361,0.010268579092287457,0.45107702946384265,0.004595541063994513,0.004595541063994513,0.983,0.982,0.981,0.9765,0.219566479334107,0.19567043308900112,-0.30760451896755125,0.8362024241071329,Supported and practically material,33,2000,33,33,16,21.0,27,12.0,True,9b8cad8fbad224ce1339d37f0cf1e5e368bcdd46003aa4abb135757341878447
