sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,threshold_delta_r2,p_delta_r2_gt_threshold
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.00899999999999999,0.9985
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.00849999999999999,0.9985
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.00799999999999999,0.998
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.007499999999999989,0.997
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.006999999999999989,0.997
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.006499999999999988,0.9965
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.005999999999999988,0.9965
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.0054999999999999875,0.996
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.004999999999999987,0.996
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.004499999999999987,0.996
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.003999999999999986,0.9945
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.0034999999999999858,0.992
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.0029999999999999853,0.989
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.002499999999999985,0.988
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.0019999999999999844,0.9855
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.001499999999999984,0.9805
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.0009999999999999835,0.9725
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,-0.0004999999999999831,0.943
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,1.734723475976807e-17,0.4865
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,0.0005000000000000178,0.045
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,0.0010000000000000182,0.0085
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,0.0015000000000000187,0.002
