sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,RandomForest,signal_increment,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,RandomForest,added_model_vs_strongest_benchmark,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
